PLACE_NM,ADDR,FLAG_NM,BULD_PURPS_NM,ERA_NM,DC_CN,latitude,longitude,district
증심사,동구 증심사길 177,고건축물,사찰,고대 남북국 시대 통일 신라,"광주광역시 문화재자료 1호, 철감선사 도윤(798∼868)이 신라 헌안왕 4년(860)에 지었다고 함, 고려 선종 11년(1094년)에 혜조국사가 중수했으며 1443년(세종 25) 전라도관찰사 김오(金傲)가 자신의 녹봉으로 낡은 건물을 다시 고쳐 지음, 그 뒤 임진왜란으로 불에 타 없어지자 1609년(광해군 1) 석경(釋經)·수장(修裝)·도광(道光) 등의 선사들이 다시 지었고, 그 뒤에도 개·보수를 거듭함, 1951년 한국전쟁으로 대부분의 건물이 불타버려 1970년 대웅전을 시작으로 각종 부속 건물들을 차례로 복원, 2008년부터 지정된 템플스테이를 운영하는 사찰이기도 함",35.1324141,126.9615604,동구
증심사 약사암,동구 증심사길 160번길 89,고건축물,사찰,고대 남북국 시대 통일 신라,"광주광역시 문화재자료 제 2호, 철감선사(澈鑑禪師) 도윤(道允)이 증심사(證心寺)를 창건하기에 앞서 건립한 사찰로, 증심사를 세우기 직전인 850년경 ‘인왕사(人王寺) ’라는 이름으로 지었고, 고려 충렬왕 32년(1306)년 절을 고쳐 세우면서 ‘약사암 ’으로 이름을 바꿈, 경내의 건물로는 대웅전, 운림당, 운림선원, 강원(講院) 등이 있음, 한국전쟁으로 소실된 것을 1974∼1984년에 복원",,,동구
증심사 오백전,동구 증심사길 177,고건축물,사찰,조선시대,"광주광역시의 유형문화재 제13호, 증심사에 있는 조선시대의 불교 건축물로 6.25전쟁 당시 유일하게 증심사에서 소실되지 않은 건물, 오백전은 대웅전의 뒤편에 세워진 법당으로, 현재 무등산에 남아 있는 절 건물 중 가장 오래된 것, 조선시대에 오백전이 지어진 절은 전남지방에서는 증심사가 유일한 것이어서 더욱 귀중, 앞면 3칸·옆면 3칸 규모이며, 지붕 옆면이 사람 인(人)자 모양인 맞배지붕집, 지붕 처마를 받치면서 장식을 겸하는 공포가 기둥 위에만 있는 주심포양식임",35.1324141,126.9615604,동구
화담사,서구 화운로156번길 17-8,고건축물,사당,조선시대,"광주광역시 시도기념물 제18호, 조선 중기 문신인 정희 선생을 중앙에 모시고 좌우에 그의 아들 정초·손자 정수충과 정오도·민제장의 위패를 모시고 있는 사당, 처음에는 사경과 예법에 뛰어나고 청렴결백한 정수충의 영정을 모신 영당이였으나, 정조 8년(1784) 그의 위패를 함께 모시면서 사당의 격을 갖춤, 제사를 올리는 공간인 화담사는 앞면 3칸·옆면 1칸 규모의 건물로, 지붕은 옆면에서 보았을 때 사람 인(人)자 모양의 맞배지붕이며 앞쪽에는 넓은 마루가 있음",35.1530275,126.8783965,서구
광주향교,남구 중앙로107번길 5,고건축물,교육,조선시대,"광주광역시 유형문화재 제9호, 광주향교는 옛날 서석산(瑞石山) 현 무등산 서쪽 장원봉(壯元峰)아래에 세워졌으나, 호랑이가 자주 나타나서 성(城)의 동문(東門)안으로 옮겨 지어짐, 그러나 성종(成宗)19년 서기 1488년 현감(縣監) 권수평(權守平)이 이 곳 또한 지대가 낮고 수해가 자주 일어나서 지금의 자리에 옮겨지었으며, 그 후 선조(宣祖) 30년 서기 1597년 정유재란(丁酉再亂)때 왜적(倭賊)들에 의하여 불에 타 선조(宣祖) 33년 서기 1600년에 관(官)과 백성이 협력하여 다시 세우고 그 뒤 수차례의 보수(補修)를 함",35.1456673,126.9091607,남구
지산재,남구 지산재길 51,고건축물,사당,조선시대,"광주광역시 유형문화재 제10호, 1737년(영조 13)에 이곳에 영당을 건립하고 최치원의 영정을 봉안, 1846년(헌종 12) 지산사를 새로 건립하여 최치원을 주벽으로 하여 최운하·최향안 등을 모셔오다가 1886년(고종 23) 대원군의 서원철폐로 영당만이 남고 모두 철거, 그후 1922년 강당을 건립하고, 지산재라 이름을 바꾸고 최치원만을 배향",35.0834543,126.8741382,남구
양과동정,남구 이장동 266,고건축물,정자,조선시대,"광주광역시의 문화재자료 제12호, 이 정자는 이 곳 출신 인물들이 간관(諫官)으로 많이 진출하여 여기서 나라 일을 의논하였다고 해서 ‘간원대(諫院臺)’라고도 함, 세운 때는 정확히 알 수 없으나 양과동정(良瓜洞亭)이라는 글씨는 송시열(宋時烈,1607~1689)이 쓴 것, 이곳은 동약(洞約)과 향약(鄕約) 등의 시행처로도 사용되었으며, 보통 정자와는 다르게 마을 사람들이 모여서 지방자치를 위한 회합을 했던 곳, 정자는 정면 3칸, 측면 2칸의 맞배지붕 기와집으로 바람 막는 판이 설치되어 있음",35.0884653,126.8585893,남구
부용정,남구 칠석동 129번지,고건축물,정자,조선시대,"광주광역시 문화재자료 13호, 부용정은 고려 말에서 조선 초 무인으로 활약했던 김문발(金文發)[1359~1418]이 낙향하여 지역 인재들의 강학과 선비들의 시회장(詩會場), 향촌 규율과 민주적인 여론 수렴을 위한 향약의 집회 장소로 활용하기 위해 1411년에 건립, 광주 지역에서 처음 향약을 시행했던 뜻깊은 장소, 평지에 2단으로 대지를 고른 후 건립하였고 정면 3칸, 측면 3칸으로 기둥머리에 공포가 없는 민도리집이며, 우물마루를 깐 맞배지붕으로 민흘림기둥을 세웠으며 홑처마임",,,남구
포충사,남구 포충로 767,고건축물,사우,조선시대,"광주광역시 기념물 제 7호, 조선시대 의병장 고경명 등을 배향한 사우, 광주전남 지역 서원과 사우 중에서 장성 필암서원과 함께 흥선대원군 서원 철폐령[1868년, 고종 5] 때 훼철되지 않은 곳, 1601년(선조 34) 호남 지역 유학자들이 고경명 등을 기리기 위하여 지금 자리에 사당을 건립",35.0768873,126.8273065,남구
추원각,남구 압촌동 산14,고건축물,재각,조선시대,"추원각(追遠閣)은 장흥고씨 재각으로 고경명(高敬命)[1533~1592]을 추모하기 위하여 건립됨, 추원각은 장흥고씨 문중에서 고경명을 배향하기 위하여 고경명 가문에게 내려진 고씨삼강문(高氏三綱門) 옆에 지어짐, 팔작지붕 주심포 양식으로 지어졌으며, 조선 후기 건축 양식의 전형적인 건축물, 정면 4칸 측면 1칸으로 되어 있음",,,남구
풍암정,북구 풍암제길 117,고건축물,정자,조선시대,"광주광역시 문화재자료 제15호, 충장공 김덕령 장군의 아우 풍암 김덕보(楓岩 金德普, 1571~1621)가 세운 정자, 풍암정은 앞면 2칸·옆면 2칸 규모로 이루어져 있으며, 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양인 팔작지붕으로 꾸며짐, 광주 무등산 원효계곡에 자리",35.1648845,126.997903,북구
환벽당,북구 충효동 387-0,고건축물,정자,조선시대,"1972년 1월 29일 광주광역시의 기념물 제1호로 지정되었다가, 2013년 11월 6일 대한민국의 명승 제107호 광주 환벽당 일원으로 승격, 조선시대의 문인 정철(鄭澈)의 행적과 관련된 유적으로, 명종 때 나주목사를 지낸 김윤제(金允悌)가 지은 것,· 환벽당은 환벽(環璧)이란 뜻 그대로 푸르름이 고리를 두르듯 아름다운 자연경관을 이루고, 시가문학과 관련된 국문학사적인 인문학적 가치가 매우 큰 곳이며, 별서원림으로서 가치가 우수한 호남의 대표적인 누정문화를 보여주는 곳, 원래는 정각형(亭閣形)으로 되어 있었으나, 후대에 중건할 때 지금과 같은 형태로 바뀌었으며 정면 3칸, 측면 2칸의 팔작지붕 건물임",35.1837448,127.0026613,북구
원효사,북구 무등로 1514-35,고건축물,사찰,신라시대,"창건연대는 알 수 없으나 신라의 지증왕이나 법흥왕 때 세워진 것으로 추정, 그 뒤 삼국통일을 전후한 문무왕 때 원효(元曉)가 이곳에 머물면서 암자를 개축, 정유재란 때 전소된 뒤 증심사(證心寺)를 중창했던 석경(釋經)이 직접 기와를 구워 중창,· 1950년 6.25전쟁으로 대부분의 전각이 화재에 전소되었으나 1954년부터 중창에 착수",35.1525405,126.9698139,북구
경열사,북구 경열사길 46,고건축물,사당,조선시대,"고려 말기 장군정지를 배향한 사당, 1644년[인조 22] 지금의 광주광역시 동구 동명동에 창건되었으며, 1868년[고종 5] 흥선대원군의 서원철폐령에 따라서 1871년 철거되어 유허비만 남음, 지금의 경열사는 '정지장군유적보존회'에서 1979년부터 현재의 자리에 복원을 시작하여 1981년 완공",35.1996916,126.9506234,북구
풍영정,광산구 풍영정길 21,고건축물,정자,조선시대,"광주광역시 문화재자료 제4호, 칠계공파 문중의 자료에 의하면 칠계(漆溪) 김언거(金彦据)[1503~1584]가 여러 벼슬을 거친 뒤 물러나 이곳에서 여러 문인 학자들과 어울리며 생활한 곳, 풍영정은 앞면 4칸·옆면 2칸 규모로 이루어져 있으며, 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양인 팔작지붕, 정자 안쪽에는 이황·김인후 등이 지은 현판들과 한석봉이 쓴 '제일호산'이라는 현판이 걸려 있음",35.1807094,126.839418,광산구
호가정,광산구 동곡분토길 195,고건축물,정자,조선시대,"광주광역시 문화재자료 제14호, 1558년(명종 13)에 설강 유사(柳泗)가 지은 원래의 정자는 임진왜란과 정유재란을 겪으면서 소실됨, 지금의 정자는 1871년(고종 8)에 중건한 후 그 뒤 1932년과 1956년에 고쳐 지음,· 정자는 앞면 3칸·옆면 3칸으로 이루어져 있으며, 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양인 팔작지붕, 당초에는 중앙에 거실을 두었으나 중수할 때 이를 없애고 전부 우물마루로 고침, 사방좌우 모서리에는 1칸씩의 낮은 난간을 두고, 사방중앙칸의 가운데는 댓돌을 두어 출입에 편리하도록 함",35.0790744,126.7842543,광산구
광산 귀후재,광산구 광곡길 133,고건축물,서당,조선시대,"광주광역시 문화재 자료 제31호, 귀후재는 기대승의 6세손 기언복을 기리는 1870년 재실로 지어졌고, 기동준(奇東準)[1869~1918]이 쓴 『귀후재기(歸厚齋記)』에 1917년에 강학을 위한 서당으로 재건함, 행주기씨는 조선 중기까지 경기도에 거주하였으나 기묘사화 때 광주 지역으로 낙향하면서 현재의 광산구에 정착, 건물은 정면 5칸 측면 1칸 규모로 중앙 2간은 마루방, 우측 2칸과 좌측 1칸은 벽장이 있는 온돌방으로 구성, 오른쪽 퇴는 높게 구성해 누마루를 형성하고 있는 점이 특징이며, 홑처마, 팔작지붕을 가진 건물의 평면구성이 독특해 역사적, 학술적, 기술적 가치가 있다는 평가를 받음",35.2364122,126.7413142,광산구
칠송정,광산구 광곡길 73,고건축물,정자,조선시대,"칠송정 자리에는 기효증이 시묘살이를 하던 움막이 있었고 지금의 정자는 1650년에 건립되었으며, 칠송정은 이후로 몇 차례 중수되었음, 칠송정은 중앙에 우물천장, 기와를 얹은 팔작지붕 정자이며 정면 3칸, 측면 2칸으로 자연석 외벌 기단과 정평주초석 위에 원형 장초석과 원형 기둥을 세움",35.2364122,126.7413142,광산구
오남제,광산구 임곡용동길 166,고건축물,재실,조선시대,"고봉 기대승의 부친인 덕성군 기진(1487~1555)을 제향하는 재실, 1560년에 건립되었으며 이후 증축이나 중수의 흔적은 찾을 수 없음, 정면 5칸, 측면 1칸의 골기와 팔작지붕이며, 건물은 솟을삼문과 토담으로 된 담장이 둘러싸고 있음, 조선 중기에 지어진 건축물임에도 불구하고 건물의 형태가 양호하여 조선시대의 건축 양식을 살펴볼 수 있다는 점에 의의가 있음",,,광산구
송호영당,광산구 소촌로 46번길 46,고건축물,사우,조선시대,"조선 중기의 문신인 눌재(訥齊) 박상(朴祥)[1474~1530]과 사암(思庵) 박순(朴淳)[1523~1589]의 영정을 모신 사우로 영조 4년(1728)에 충주박씨 후손들이 건립, 1868년에 철폐되었다가 1903년에 복설되었고, 2008년에 지금 자리로 옮김, 정면 3칸 측면 1칸의 골기와 맞배지붕 구조로, 건물 중앙은 영정 봉안 장소로 사용되고, 좌우에 온돌방을 만들기 위하여 칸막이를 설치",,,광산구
조선대학교 본관,동구 서석동 375,근대건축물,교육,1951년,"대한민국 국가등록문화재 제94호, 이 건물은 한국 최초의 민립대학인 조선대학교의 본관이며, 건립 당시에는 중앙 5개의 박공지붕으로 구성된 건물이었으나 몇 차례의 증축을 거치며 현재의 19개의 박공지붕 건물로 발전됨, 그 독특한 형태로 인하여 광주를 상징하는 건축물로 평가받고 있음",35.1425263,126.928997,동구
조선대학교 의대 본관,동구 학동 30-1,근대건축물,교육,1962년,"대한민국 국가등록문화재 제590호, 중앙 현관을 중심으로 좌우대칭을 이루고 편복도를 중심으로 공간을 구성하였으며 층고가 높아 수직으로 긴 창호를 설치하여 수직성을 강조한 외관이 특징적, 1957년 약학대학 교사로 건립되었으나 1962년 무렵부터 의학대학 본관으로 사용되고 있는 건물로 대학 자체에서의 역사적인 가치와 함께 동시대 건축 기술의 특성과 대학 교육시설의 특성을 잘 보여주는 건물로 가치가 있음",35.136278,126.9261715,동구
조선부속중학교 본관,동구 서석동 375,근대건축물,교육,1962년,"대한민국 국가등록문화재 제589호, 벽돌을 쌓은 벽체 위에 목조 트러스(Truss)를 얹은 1층 규모의 건축물로, 중앙에 주 출입구를 두고 중복도를 중심으로 수평으로 길게 교실을 배치한 전형적인 학교 건물의 평면을 가지고 있음, 조선대학교 최초의 건물로 대학과 지역사회에서 오랜 역사성과 상징성을 지닌 건물로 가치가 있음",35.1425263,126.928997,동구
서석초등학교 본관,동구 서석동 14-1,근대건축물,교육,일제강점기(1935년),"대한민국 국가등록문화재 제17호(본관, 별관, 체육관), 광주서석초등학교는 을미개혁의 일환으로 공포된 소학교령에 따라 설립된 광주 지역 최초의 근대식 공립학교임, 본관은 근대 벽돌 건축의 조형미를 엿볼 수 있는 건물로, 당시 가장 품질 좋은 수입산 목재와 특수 벽돌을 사용하여 지었으며 체육관은 건물 내부에 기둥이 없음, 별관은 각 교실마다 굴뚝을 설치하고 상인방과 하인방에 돌림띠를 둘러 장식하였는데 당시 학교 건물의 특징을 보여줌, 2019년에 보수공사가 이루어져 보존 상태가 좋으며, 건립 당시의 기능을 그대로 유지하고 있음",35.1425263,126.928997,동구
서석초등학교 별관,동구 서석동 14-1,근대건축물,교육,일제강점기(1943년),,35.1425263,126.928997,동구
서석초등학교 체육관(서석당),동구 서석동 14-1,근대건축물,체육,일제강점기(1930년),,35.1425263,126.928997,동구
전남도청 본관,동구 광산동 13,근대건축물,공공,일제강점기(1925년),"대한민국 국가등록문화재 제16호, 5·18 광주 민주화 운동의 마지막이었던 광주 재진입 작전으로 인한 최후의 전투가 벌어진 곳, 전라남도청은 2005년에 전라남도 무안군 삼향읍 남악리로 이전, 건물 정면 중앙의 출입구는 기하학적인 요철을 둔 사각 기둥의 캐노피로 처리하였고, 건물의 중앙 부분을 좌우측 보다 높게 하고 좌우 대칭으로 설계하여 중심성을 강조, 또한 건물의 좌우측 부분이 단순한 수직창으로 처리된 것과는 달리 현관 위쪽에는 3개의 아치창을 장식적으로 처리하여 좌우측의 날개 부분과 구별되는 위계성을 표현",35.1463888,126.9195361,동구
전남도청 회의실,동구 광산동 11,근대건축물,공공,일제강점기(1930년),"광주광역시 유형문화재 제6호, 지하 1층·지상 2층의 붉은 벽돌건물인데, 2층의 창문이 위·아래로 나뉘어 밖에서 볼 때는 3층으로 보이는 아담한 건물, 출입구의 위쪽부터 옥상까지 전체면을 유리로 장식하였고 건물 양 옆의 모서리를 둥글게 곡선처리 하였으며, 동시에 창문도 곡선창을 사용, 출입구 앞 계단의 난간 역시 곡선처리를 하였는데, 이것은 1930년대에 지은 건물로는 매우 혁신적인 면이 돋보임, 일제시대 때 활동한 몇 안되는 한국인 건축가가 설계한 건물이라는 점과 시대를 앞서가는 뛰어난 조형감각이 살아있는 건물이라는 점에서 한국근대건축의 귀한 작품",35.1463888,126.9195361,동구
전남여고 구 본관,동구 장동 39-12,근대건축물,교육,일제강점기(1928년),"광주광역시 기념물 제26호, 광주학생운동 발상지로 1929년 일제에 항거하여 대대적인 광주학생독립운동을 전개한 것을 비롯하여 광복 때까지 계속적인 구국독립운동을 전개",35.1487432,126.9233456,동구
전남대학교 의과대학 구 본관,동구 학동 5,근대건축물,교육,1951년,"대한민국 국가등록문화재 제728호, 1948년에 착공되어 한국전쟁 기간인 1951년에 완공된 후 광주의과대학 본관과 전남대학교 본부로 사용되었으며 현재는 전남대학교 의학박물관으로 활용되고 있음, 동 시대에 건립된 대학 건축물과 비교할 때 한국전쟁 중에도 꾸준히 건축공정이 진행된 점, 모더니즘의 세련된 디자인, 조적조와 철근콘크리트 슬라브 연결의 적합성 등 역사적, 건축사적 측면에서 중요한 의미를 간직하고 있어 등록문화재로서의 가치가 있다고 할 수 있음",35.136278,126.9261715,동구
광주극장,동구 충장로46번길 10,근대건축물,극장,1935년,"광주 최고(最古)이자 현존하는 한국에서 두번째로 오래된 극장, 일제강점기 시절에는 일제의 검열을 받으면서도 창극단이나 판소리 등을 극화한 공연을 주로 상영하면서 신문화운동과 함께 항일정신을 이어갔고, 해방 후에는 김구의 강연회나 음악회, 연극제를 여는 등 문화교육운동의 장소로도 활용",35.1498333,126.9126038,동구
신동아극장,동구 충장로 69-7,근대건축물,극장,1966년,"1966년 건물이 새로 지어졌고, 동아극장이 들어섰으며, 1985년에 신동아극장으로 이름이 바뀜, 건물 옥상에 롤러스케이트장, 극장 위층에 볼링장이 있어 10대 청소년들과 20대 젊은이들이 몰려들었던 곳",35.1491583,126.9153655,동구
남동성당,동구 제봉로 67,근대건축물,종교,1963년,"남동성당은 설립 초기부터 6.25전쟁의 수난을 겪었고, 5.18민주화운동 기간에는 민주화의 열망을 결집하는 장소이었음, 남동성당은 5월 민주화운동 후에도 꾸준히 추모 미사를 진행해 5월 민주화운동이 단 기간의 투쟁으로 끝나지 않고 부당한 국가권력에 투쟁할 수 있는 발판을 마련, 건물의 평면은 가늘고 긴 사각형으로 구성되었으며 외벽은 붉은색 벽돌로 쌓았음, 성당 내부는 2층을 받치는 십자형 기둥에 성수를 담아 놓는 성수대를 설치해 놓았으며 창문은 전통방식인 띠살창을 설치",35.1508966,126.9200698,동구
중앙초등학교 본관,동구 제봉로 167,근대건축물,교육,1933년,"광주중앙초등학교는 일제강점기 때 건립된 학교 건물로 일본인 아이들의 교육을 위해 설립된 광주공립심상고등소학교에서 비롯, 1907년 설립된 광주공립심상소학교는 처음에 목조 건물을 지어 교사(校舍)로 사용하다가 1932년 벽돌조 교사와 강당 신축공사를 실시하여 이듬해 완공, 광주 중앙초등학교 본관은 중앙에 강당을 두고 양쪽으로 교사를 연결시킨 독특한 형태를 지니고 있으며 세부적인 건축 수법이 우수하고 장식성이 돋보이는 건물",35.1508966,126.9200698,동구
만귀정,서구 세하동 274-1,근대건축물,정자,1934년,"광주광역시 문화재자료 제5호, 만귀정은 흥성 장씨의 선조인 장창우가 학문을 가르쳤던 옛 터에 후손들이 그의 덕을 기리고자 지었음, 원래의 건물은 없어졌고, 1934년에 다시 세웠으며 1945년에 고쳐 지은 건물로 앞면 2칸·옆면 2칸 규모를 갖추고 있음 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양인 팔작지붕",35.1209267,126.8318976,서구
병천사,서구 금호운천길 31,근대건축물,사당,일제강점기,"광주광역시 유형문화재 제11호, 고려말의 충신인 정몽주를 비롯하여 지용기·정충신·지계최·지여해 등을 모시는 사당, 1910년 일본에게 나라를 빼앗기는 치욕을 당한 후 선조들의 절의와 애국정신을 이어받기 위하여 이 지방 세력가인 지응형이 1924년에 지은 것, 경내에는 사당·영당·동재·서재·강당·전사실·내삼문·원직사 등이 있는데 건물 가운데 가장 크고 보존을 요하는 강당 1동만을 문화재로 지정하여 관리, 강당은 앞면 5칸·옆면 2칸 규모이며, 가운데 3칸은 대청마루를 두었고 앙쪽은 방을 들임",35.1404188,126.8574082,서구
양파정,남구 사직길 49,근대건축물,누정,1914년,"고려말 광주천에 건축되어 홍수를 다스린 석서정(石犀亭)을 추억하여 1914년에 광주 대 부호였던 양파(楊波) 정낙교(鄭洛敎, 1863~1938)가 세운 누정, 일제 식민지로부터 벗어나기 위해 광주광역시 첫 현대시인이자 아동문학가인 김태오(金泰午)가 양파정에서 광주 지역의 소년들을 모아 회합을 갖고 운동도 하는 등 소년운동의 출발지로 역사 문화의 중요한 공간, 정면 3칸, 측면 2칸의 골기와 팔작지붕이고, 바닥은 시멘트에 돌가루를 섞어서 광택을 냄",35.1426688,126.9148451,남구
최부잣집(청운독서실),남구 사직안길 19,근대건축물,주거,1942년,"‘최부잣집’은 흥학관을 건립한 최명구 선생 가문이 명맥을 이어온 근대 목조 가옥, 다락을 포함해 내부 4층 규모의 대저택으로 본래 솟을대문과 11칸의 문간채 그리고 사랑채 등 1800평 대지에 연못, 정원, 안채 뒤편에 양옥까지 있었으나 아쉽게도 지금은 본채와 창고 건물만 남겨짐, 사동 최부자가 양림동 최승효가옥도 지었음",35.1441029,126.911749,남구
양림교회,남구 백서로70번길 2,근대건축물,교회,1904년,"광주양림교회는 선교사 유진 벨(Eugene Bell)이 창립한 광주교회(광주금정교회)에서 1924년 분립한 개신교 교회, 광주양림교회는 인근 숭일학교 · 수피아여학교 · 제중원(현 광주기독병원) 등과 함께 대한제국기인 1900년대 광주의 근대화에 기여했으며, 일제강점기에는 각종 사회운동 · 계몽운동에서도 중심적 역할을 수행함",35.1379541,126.9158878,남구
오웬기념각,남구 양림동 67-1,근대건축물,문화 및 집회,일제강점기(1914년),"광주광역시 유형문화재 제26호, 기독간호대학교 내에 있는 이 기념각은 1909년 순교한 미국인 선교사 오웬(Clement C. Owen. 1867∼1909)과 오웬의 할아버지 윌리엄(William)을 기념하기 위해 일제강점기인 1914년 광주에 세워진 건물, 개화기 광주지역의 서양 선교사 활동 연구에 중요한 의미를 지니는 이 건물은 광주 신문화운동의 요람지가 되기도 함, 정면과 측면 입구의 장식은 이슬람 양식으로 조형미가 뛰어나며, 현관은 2층까지 뚫려 있음, 한때 교회로도 사용되었으며, 최근에 이르기까지 기독교 관련 집회는 물론 강연회·음악회·영화·연극·무용 그리고 학교나 유치원의 학예회·졸업식 등 지역의 크고 작은 문화행사가 이곳에서 열리면서 지역문화 발전에 크게 기여하고 있음",35.13835,126.91441,남구
우일선 선교사 사택,남구 양림동 226-25,근대건축물,주거,일제강점기(1920년),"광주광역시 기념물 제15호(1989.3.20.), 1908년 제중원(현 기독병원)의 원장이 되어 의사로 선교활동을 한 미국인 선교사 우일선(Robert M. Willson)에 의해 1920년대에 지어졌다고 전해짐, 광주에 현존하는 서양식 주택 건물로는 가장 오래된 건물로 양림산 기슭에 동향으로 세워진 고색창연한 2층 벽돌 건물, 현재 내부를 개조하여 대한 예수교 장로회 사무실로 사용하고 있음",35.13835,126.91441,남구
구 수피아여학교 커티스메모리얼홀(유진벨기념관),남구 양림동 256,근대건축물,문화 및 집회,일제강점기(1920년),"대한민국 국가등록문화재 제159호(2005.4.15.), 이 건물은 수피아여학교를 설립한 전라도 지역 선교의 개척가인 유진벨(Rev. Eugene Bell, 1868~1925, 한국어 이름: 배유지) 목사를 추모하기 위해 건립되었으며, 선교사와 그 가족들의 예배당으로 이용됨, 전체적으로 중앙을 기점으로 대칭을 이루고 곳곳에 원형 창과 첨두아치 형상의 창문을 조화롭게 배치, 규모는 작지만 장식적인 요소가 많고 건축기법이 우수한 건축물",35.13835,126.91441,남구
구 수피아여학교 수피아 홀,남구 양림로 251,근대건축물,교육,일제강점기(1911년),"대한민국 국가등록문화재 제158호, 수피아홀은 미국 스턴스 여사(Mrs. M.L.Sterns)가 세상을 떠난 친정 동생(Jannie Speer)을 추모하기 위하여 기증한 5,000불로 세운 건물, 중앙의 현관 포치 위쪽에 박공을 두어 정면성을 강조하고 있으며, 1층과 2층 사이에 돌림띠로 장식하고 수직의 긴 창을 반복적으로 배치, 당시에 일반적으로 사용되던 붉은 벽돌이 아니라 회색 벽돌로 지은 것, 경사가 급한 지붕, 뾰족아치를 사용한 창호, 높이 솟은 굴뚝과 벽돌을 사용한 벽체 등에서 서양식 건축의 특징이 잘 드러남, 광주 지역 개신교 선교의 근거지이자 여성 교육의 요람으로 꼽히는 수피아 여학교에서 가장 오래된 건물",35.1348326,126.9102639,남구
구 수피아여학교 원스브로우 홀,남구 양림로 256,근대건축물,교육,일제강점기(1927년),"대한민국 국가등록문화재 제370호, 1927년 건립된 이 건물은 윈스브로우(Winsborough) 여사가 받은 생일 헌금으로, 건축을 전공한 남장로회 서로득(Swinehart) 선교사가 건축, 좌우 대칭의 중복도형으로 정면 출입구에 설치한 서양의 고전주의 양식이자 아담한 돌출 현관인 포치가 인상적이며, 이 돌출 현관 위 삼각형의 박공지붕과 이를 받치는 투스칸 오더(Tuscan Order)의 원형 기둥은 다른 학교 건물에서는 볼 수 없는 독특한 것임",35.1348326,126.9102639,남구
수피아여학교 소강당,남구 양림동 242,근대건축물,체육,일제강점기(1935년),"광주광역시 등록문화재 제27호, 광주에 남아 있는 체육시설 중에서 가장 오래된 건물로서 서양과 한국의 건축을 절충시킨 특징을 지니고 있음, 붉은 벽돌건물로 건축되었으며, 독특한 박공지붕과 왕대공트러스 등은 당시의 건축 양식과 기술을 후세에 전하는 건축물로서 가치가 높음",35.13835,126.91441,남구
