PLACE_NM,ADDR,FLAG_NM,BULD_PURPS_NM,ERA_NM,DC_CN,latitude,longitude,district
이장우 가옥,남구 양림로 128,근대건축물,주거,1899년,"광주광역시 민속문화재 제1호, 안채, 사랑채, 행랑채, 곳간채, 대문간으로 구성된 전통 상류가옥으로 안채가 문화재로 지정되어 있음, 1899년 정병호가 안채와 대문간을 건축하였고, 1959년 이장우가 매입한 후 사랑채와 행랑채, 곳간채까지 완성, 안채는 ㄱ자 형태의 2고주 5량 팔작지붕 기와집이며, 세벌대의 다듬돌 기단 위에 원형 주초석을 놓고 원형기둥과 사각기둥을 세움",35.1369981,126.9082986,남구
고원희 가옥,남구 압촌동 101-1,근대건축물,주거,1917년,"광주광역시 문화재자료 제8호, 임진왜란(壬辰倭亂) 때 금산전투에서 전사한 의병장 고경명(高敬明)의 옛 집터에 그의 후손들이 세운 집, 고원희가옥은 조선시대 유교적 관습을 그대로 반영한 근대 한옥으로, 여러 동의 건물이 잘 남아 있어 근대기 부농 가옥의 생활상을 잘 보여줌",35.0918633,126.8326125,남구
최승효 가옥,남구 양림동 226-25,근대건축물,주거,1920년,"광주광역시 민속문화재 제2호, 이 집은 정면 8칸 측면 4칸으로 규모가 크고 지붕은 팔작지붕이며, 기와는 유약을 바른 적색기와로 특이하며, 정면에 비대칭수법을 사용하여 율동감을 주는 등 전통가옥이 개화기 한옥으로 변화하는 과정을 보여주는 자료, 1920년대에 건축하고 1960년대에 대대적으로 수리를 하였고, 집의 배치로 볼 때 조금씩 분할되거나 건축되어 안채 이외에는 전체 원형을 찾기 어려움, 1920년대에 지어진 이 가옥은 지붕밑에 다락이 있어서, 독립운동가들이 피신하던 장소로 또 다른 의미가 있음",35.13835,126.91441,남구
광주교육대학교 본관,북구 풍향동 1-1,근대건축물,교육,일제강점기(1939년),"대한민국 국가등록문화재 제97호, 이 건물은 광주사범학교 강의실로 사용하기 위해 지은 것으로 붉은 벽돌의 2층 건물로 현관이 돌출되어 있고 전면 중앙 부분에 박공지붕이 솟아 있으며, 전체적으로 좌우 대칭의 균형미를 보여줌, 대학 안에서 가장 오래된 건물로, 중앙 현관 위쪽의 둥근 아치 모양의 채광창은 그 상부에 붉은 벽돌로 홍예를 틀어 장식하고 있으며 채광창을 받치고 있는 반원형 구와 함께 이 건물의 미적 포인트를 구성하고 있으며 이 건물의 중심 요소임",35.1647214,126.9266568,북구
북동천주교회 사제관,북구 북동 33,근대건축물,종교,일제강점기(1938년),"광주광역시 기념물 제25호, 이 교회는 전라남도 지역이 광주교구로 승격되던 1937년 광주성당의 4대 주임신부로 부임한 구< 具 >신부(Rev. Thomas Quinlan)가 계획을 세워서 지은 것, 2층 규모의 서양식 벽돌조 건축물로서 안정적인 외관을 지니고 있으며, 성당과 함께 근대기 종교 건축의 특징을 잘 보여주는 건축물임, 건물의 평면은 가늘고 긴 사각형으로 정면에 종탑을 배치하고 좌측면에만 제의실과 고해실을 배치, 외벽은 고막이돌을 놓고 붉은색 벽돌을 쌓았으며, 종탑과 측면에 있는 창틀과 문에는 화강석으로 인방을 설치했으며, 내부의 벽과 천정은 별다른 장식이 없이 흰색 회를 발라 마감",35.1558233,126.9096688,북구
전남대학교 인문대 1호관,북구 용봉동 300,근대건축물,교육,1955년,"대한민국 국가등록문화재 제96호, 1955년 건립된 이 건물은 광주 출신 건축가 정옥진이 설계한 건물로서 전남대학교에서 가장 먼저 지어짐, 중앙에 3층의 본채와 양 옆 1층에 날개처럼 덧 달아낸 대강의실 등 모두 세 부분으로 구성되어 있고, 중앙 부분에는 첨두형 아치로 출입문을 만들고 장방형 창과 원형 창 그리고 아치 형상의 창문을 조화롭게 배치함, 한국전쟁 뒤 물자와 인력이 부족한 어려운 상황에서 자체 벽돌 공장을 세워 놓고 필요한 벽돌을 제작하여 건물을 세웠으며, 개화기 건축에서 현대식 건축으로 이행하는 과정에 나타난 건물로 가치를 인정받음",35.1794701,126.901333,북구
광주교대 교육연수원 (교육박물관),북구 풍향동 1-1,근대건축물,교육,1957년,"대한민국 국가등록문화재 제644호, 광주교육대학교에서 운영하는 대학부설기관으로 호남지역의 유일한 교육전문 국립박물관임, 교육박물관은 광주사범대학 본관으로 건립된 건물로 광주, 전남과 제주를 중심으로 활동했던 건축가 김한섭이 설계, 외관은 각 교실의 기본 모듈을 바탕으로 창과 벽돌 기둥을 번갈아 가면서 리듬감 있게 구성하였고, 시멘트와 철근이 귀하던 시절에 조적조와 목조 지붕틀을 주 구조체로 하면서 횡력을 보강하기 위해서 벽돌거푸집 콘크리트 기둥 방식을 사용한 것이 특징",35.1647214,126.9266568,북구
김용학 가옥,북구 매곡동 306,근대건축물,주거,1900년대,"광주광역시 민속문화재 제3호, 김용학가옥은 1917~1934년까지 하은(荷隱) 김희수(金喜洙)[1861~1934]와 김희수의 아들 소하(小荷) 김용학(金容鶴)[1909~1987]이 대를 이어 살림집과 원림을 조성하여 여러 문인과 함께 교유한 곳, 동북쪽이 낮고 서남쪽이 높은 지형을 살려 낮은 곳에 사랑채와 안채를 동서 중심축에 배치하고주거공간의 왼쪽에 연못과 하은정을 그 뒤쪽에는 연파정을 배치하여 자연과 어울리도록 함, 살림집과 원림이 조화롭게 배치된 건축물로서 근대기 광주 지역의 주거생활과 선비문화를 잘 보여주며, 사용된 건축 부재가 건실하며 우수한 건축 기법을 지니고 있음",35.1911482,126.8907889,북구
경의재,북구 소해로 11,근대건축물,교육,일제강점기,"소해정(蘇海亭)이란 이름으로 소해(蘇海) 노종룡(盧種龍)[1856~1940]이 건립, 1965년 노종용의 아들인 노진영이 소해정을 같은 공간에 있는 만주사(晩州祠)의 강당으로 헌납하면서 경의재로 이름을 바꿈, 경의재는 정면 5칸, 측면 3칸 규모의 골기와 팔작지붕 건물임, 구한말 광주광역시 지역 유학자의 독립운동 활동 모습과 광복 후 이들을 어떻게 기리는지 살펴볼 수 있는 곳",35.2101621,126.8902661,북구
취가정,북구 환벽당길 42-2,근대건축물,정자,1890년,"광주광역시 문화재자료 30호, 취가정은 임진왜란 때 조선의병의 총수였던 충장공(忠壯公) 김덕령(金德齡)의 유덕(遺德)을 기리기 위해서 그의 후손인 난실(蘭室) 김만식(金晩植)과 여러 문족(門族)들의 협력에 의해 1890년(고종 27)에 최초 창건하여 보존해 오다가 1950년 한국전쟁으로 불에 타 없어졌으나 후손 김희준(金熙駿)이 여러 족인(族人)들과 함께 1955년 중건함, 정면 3칸, 측면 2칸의 골기와 팔작지붕으로 중앙의 거실 1칸을 제외한 좌우 2칸은 모두 마루로 구성되어 있음, 식영정(息影亭), 소쇄원(瀟灑園), 환벽당(環碧堂)과 함께 경관적 가치를 공유하고 있음",35.1856336,127.0039661,북구
수창초등학교 본관,북구 금남로 99,근대건축물,교육,1931년,"수창초등학교 본관은 1931년 광주제2보통학교[지금의 광주수창초등학교] 본관으로 건립된 2층 벽돌조 교사(校舍)로서 현재까지 사용하고 있음, 일제강점기에 지어진 교사로서 보존 가치가 높으며, 광주 서석초등학교 본관·별관·체육관, 광주 중앙초등학교 본관과 함께 일제강점기 당시 벽돌조 교사의 건축 특성을 살펴볼 수 있는 좋은 사례",35.1598496,126.8975546,북구
김봉호 가옥,광산구 하남동 69,근대건축물,주거,1946대,"광주광역시 문화재자료 제25호, 전체 지형은 서쪽과 후면이 경암근린공원으로 조성된 동산으로 이루어져 있어 남부 지역 고유의 후원을 두고 자리잡음, 집의 중심인 안채는 그 규모와 칸의 구성, 목재를 다듬은 방식과 짜임새에서 나타난 결구 방식 등이 상류층 가옥 형태, 전체 5동의 건물들이 서남향의 안채를 중심으로 배치되어 있고, 후측면에는 안채보다 더 오래되어 200년이 넘은 개와된 사랑채와 문간채, 헛간, 계사, 돈사, 잠실, 장독대, 지붕을 얹은 우물터와 농기구 등을 그대로 간직하고 있어 농가 생활의 흔적을 느낄 수 있음",35.1928191,126.7973211,광산구
용진정사,광산구 본량동서로 180-68,근대건축물,교육,일제강점기,"광주광역시 문화재자료 제 7호, 후석(後石) 오준선(吳駿善)[1851~1931]이 1931년 세상을 떠날 때까지 후학을 가르치며 민족정신을 함양시킨 곳, 오준선의 제자들은 용진정사의 건립과 『후석유고(後石遺稿)』, 『용진지(聳珍誌)』 발간, 영당 건립에 이르기까지 모든 지원을 아끼지 않았고 스승의 학문과 정신을 계승함, 용진정사 건물은 정면 4칸, 측면 2칸이며 한식기와 팔작지붕 건물",35.2068489,126.7001373,광산구
만취정,광산구 본량본촌길 29,근대건축물,정자,1913년,"광주광역시 문화재자료 제26호, 만취(晩翠) 심원표(沈遠杓:1853~1939)의 학덕을 기리기 위해 지음, 정자는 정면 3칸, 측면 1칸에 전후퇴가 있고, 가운데에 온돌방을 배치한 평면에 지붕은 팔작지붕으로 되어 있음, 정자의 건립연대를 가늠할 수 있는 수령 100여 년 된 고목들이 주변에 빽빽히 들어서 있어서 주변경관이 빼어남",,,광산구
월봉서원 빙월당,광산구 광곡길 133,근대건축물,서원,1941년,"광주광역시 기념물 제9호, 조선시대 성리학자인 고봉 기대승의 학덕을 기리기 위해 호남 유생들이 1578년(선조 11) 광주광역시 광산구에 세운 서원, 기대승 사후 7년만인 1578년(선조 11)에 광산구 신룡동에 세웠으나 임진왜란 이후 광산구 산월동으로 이건하였으며, 1655년(효종 6년)에 사액되어 사우·동재(明誠齋)·서재(存省齋)·강당(忠儒堂)이 갖추어짐, 1868년 대원군의 서월철폐로 훼철되었다가 1941년 현 위치에 빙월당을 새로 짓고 1978년부터 1981년까지 사당과 장판각, 내삼문·외삼문 등의 건물을 건립함",35.2364122,126.7413142,광산구
용아생가,광산구 소촌로46번길 24,근대건축물,주거,19세기 후반,"광주광역시 기념물 제13호, 한국의 서정시 발전에 선구적 역할을 한 용아 박용철(1904∼1938) 선생의 생가, 이 집은 선생의 고조부가 지었다고 전하지만 19세기 후반에 지은 것으로 추정하며, 용아의 생가는 1970년대 새마을사업으로 몸채의 초가 지붕을 시멘트 기와로 교체하고 부속 건물은 슬레이트로 개량했었으나 최근에 다시 원형대로 복원, 본채와 사랑채, 행랑채, 사당, 서재로 구성되어 있으며, 사랑채는 5칸, 사당은 앞면 3칸·옆면 1칸 규모의 건물로, 지붕은 옆면에서 볼 때 사람 인(人)자 모양을 한 맞배지붕임",35.1492565,126.7941406,광산구
무양서원,광산구 산월로21번길 26,근대건축물,서원,1927년,"광주광역시 문화재자료 제3호, 무양서원은 탐진최씨(耽津崔氏) 문중이 최씨와 관련된 분들을 제향하기 위해 전국 유림의 호응을 얻어서 세운 서원, 선인을 배향하는 무양사(武陽祠)는 정면 3칸 측면 2칸, 겹처마의 골기와로 된 맞배지붕 형태이며, 서원은 전학후묘(前學後廟)의 형태를 취하고 있음, 아래쪽에 강당인 이택당(以澤堂)이 있고 그 양쪽에 출입문이 있으며, 이택당의 구조는 정면 3칸 측면 2칸의 단층 골기와 맞배지붕으로 되어 있음",35.2100836,126.8395684,광산구
경장각,광산구 용아로 460,근대건축물,사당,1919년,"경장각은 조선 인조 대 문신인 이신의(1551~1627)를 배향하는 재각, 1754년 지어진 유애서원이 1868년 서원 폐지령으로 훼철되자 1901년 서적과 유물을 보관하기 위하여 금서재가 세워졌고, 이후 금서재를 철거하고 1919년에 경장각을 건립",35.1740198,126.8039986,광산구
국립아시아문화전당,동구 문화전당로 38,현대건축물,문화 및 집회시설,2015년 개관,"동아시아에서 한류가 촉발시킨 한국문화의 위상을 제고하기 위한 구체적인 프로그램을 포함하되, 탈서구 중심?탈권위주의?탈냉전의 문화다양성?상생 및 공존의 아시아 인식에 기반한 국제교류의 문화허브로 육성하고자 노무현 대통령의 공약사업으로 추진됨,  세계적인 수준의 조경시설을 갖춘 옥상정원은 광주 민주화 운동에 뿌리를 두고 있는 시민 참여 정신과 사회적 교류를 구현한 것, 문화전당 건축물들의 다양한 형태와 기능에 따라, 공원, 열린 광장, 그늘진 숲, 놀이 공간, 잔디밭, 건물내부 중정 등의 다양한 조경요소들로 구성되어 있음, 특히 전통 한국 정원 양식에 영향을 받아 설계되었으며 한국 고유의 수목 및 재료를 사용하여 지역성을 살린 조경을 추구",35.1472744,126.9208083,동구
드영미술관,동구 성촌길 6,현대건축물,문화 및 집회시설,2018년 개관,제22회 광주광역시 건축상 비주거부문 동상,35.1344437,126.9542516,동구
라티스빌딩,동구 동명로14번길 14,현대건축물,근린생활시설,2017년 개관,"제22회 광주광역시 건축상 비주거부문 금상. 2018 한국건축문화대상 준공건축물부문 / 우수상. 1,2층의 카페 및 독립서점, 3층 단독주택이 합쳐진 복합 근린생활공간",35.150416,126.9261505,동구
전일빌딩245,동구 금남로 245,현대건축물,문화 및 집회시설,"1968년 1차 준공, 1970년 2차 증축, 2020년 리모델링","제26회 광주광역시 건축상 리모델링부문 최우수상, 2017년 5·18사적지 제 28호 지정",35.1483983,126.9186469,동구
지산돌집,동구 지산동,현대건축물,단독주택,2022년,"제26회 광주광역시 건축상 주거(통합)부문 최우수상, 2023년 한국건축문화대상 주택 부문 본상(국무총리상)",35.1501851,126.935024,동구
미가온주택,동구 운림동,현대건축물,단독주택,2013년 준공,제17회 광주광역시 건축상 주거부문 금상,35.1326322,126.943301,동구
영상복합문화관,동구 제봉로 96,현대건축물,문화 및 집회시설,2010년 개관,제14회 광주광역시 건축상 금상,35.1508966,126.9200698,동구
의재미술관,동구 증심사길 155,현대건축물,문화 및 집회시설,2001년 개관,"한국건축문화대상, 준공, 대상, 2001, 20세기 남종문인화의 대가 의재 허백련(1891~1977)의 화업과 정신을 계승하고자 건립된 미술관",35.1340393,126.9540989,동구
광주은행 학동지점,동구 남문로 698,현대건축물,업무시설,1995년 개관,"한국건축가협회상, 본상, 1996",35.1395128,126.922748,동구
Bldg. REGAON,동구 동명로 57,현대건축물,업무시설,"2013년 개관, 2019년 이전","제23회 광주광역시 건축상 비주거부문 동상, 리가온 건축사 사무소",35.150796,126.9317914,동구
화정동 1265,서구 화운로23번길 4-5,현대건축물,근린생활시설,2021년 개관,제25회 광주광역시 건축상 비주거부문 동상,35.1416959,126.8843418,서구
마륵공간,서구 백석길 27,현대건축물,근린생활시설,2019년 개관,제23회 광주광역시 건축상 비주거부문 동상,35.1407319,126.8521275,서구
지읒컴퍼니,서구 마륵로 67,현대건축물,업무시설,2001년 개관,제21회 광주광역시 건축상 비주거부문 은상,35.1450036,126.8388126,서구
김대중컨벤션센터,서구 상무누리로 30,현대건축물,문화 및 집회시설,2004년 개관,제17회 광주광역시 건축상 비주거부문 금상,35.1468502,126.8402623,서구
세계광엑스포 주제전시관,서구 상무공원로 131,현대건축물,문화 및 집회시설,2010년 개관,"제13회 광주광역시 건축상 금상, 한국건축문화대상, 준공, 우수, 2010, 기존 상무공원의 경관을 해치지 않고 도로로 단절되어 있는 공원을 연결시킬 수 있는 구심점으로서의 건물계획과 주변도로(고속도로)와 자연환경,고층건물 등에서 광주의 랜드마크적 요소로 자리매김 할 수 있도록 고려됨",35.1446589,126.8439799,서구
전천후 게이트볼 경기장,서구 상무누리로 123,현대건축물,운동시설,2004년 개장,"제10회 광주광역시 건축상 동상, 광주광역시 최초의 전천후 게이트볼장으로 생활체육시설을 활성화하기 위해 건립",35.1558812,126.8387882,서구
서부교육청 청사,서구 상무번영로 98,현대건축물,업무시설,"1988년 개관, 2003년 신축 이전",제10회 광주광역시 건축상 동상,35.1584234,126.8536652,서구
라마다 프라자호텔,서구 상무자유로 149,현대건축물,숙박시설,2008년 개관,제13회 광주광역시 건축상 동상,35.1520046,126.8505274,서구
옛 토지공사 광주전남본부 사옥,서구 시청로 91,현대건축물,업무시설,"2007년 준공, 2009년 이전",제12회 광주광역시 건축상 금상,35.156509,126.8508926,서구
광주광역시청,서구 내방로 111,현대건축물,업무시설,2004년 개관,"한국건축문화대상, 비주거, 대상, 2004",35.1601047,126.851467,서구
광주 월드컵경기장,서구 금화로 240,현대건축물,운동시설,2011년 개장,"한국건축문화대상, 준공, 입선, 2002",35.1337706,126.8750042,서구
서빛마루문화예술회관,서구 풍암공원로 30,현대건축물,문화 및 집회시설,2023년 개관,제27회 광주광역시 건축상 사회공공부문 최우수상,35.1297926,126.8806618,서구
양림동 공예특화거리,남구 오기원길 20-13,현대건축물,근린생활시설,2019년 개장,제24회 광주광역시 건축상 비주거부문 금상,35.1391701,126.9165101,남구
힐사이드 양림,남구 우월순길 12,현대건축물,근린생활시설,2019년 개관,제23회 광주광역시 건축상 비주거부문 은상,35.1379913,126.9128944,남구
아크레타 양림,남구 백서로 76,현대건축물,근린생활시설,2018년 개관,제23회 광주광역시 건축상 비주거부문 금상,35.1393388,126.916292,남구
어반브룩,남구 임암길 181,현대건축물,근린생활시설,2020 개관,제22회 광주광역시 건축상 비주거부문 은상,35.091263,126.8529243,남구
남선교회,남구 오방로 64,현대건축물,종교시설,1992년 개관,제26회 광주광역시 건축상 민간부문 최우수상,35.1267256,126.9192308,남구
220,남구 봉선동,현대건축물,단독주택,"2002년 준공, 2021년 리모델링",제25회 광주광역시 건축상 주거부분 금상,35.1234765,126.9131927,남구
백소헌,남구 백운동,현대건축물,단독주택,2019년 개관,제22회 광주광역시 건축상 주거부문 금상,35.1377798,126.9042413,남구
노대동792,남구 노대동 792,현대건축물,단독주택,2014년 준공,제19회 광주광역시 건축상 주거부문 금상,35.1013144,126.9064869,남구
부티크 그레이어,남구 유안초등북1길 7,현대건축물,근린생활시설,2020년 준공,제27회 광주광역시 건축상 비주거부문 최우수상,,,남구
오월어머니집,남구 천변좌로 418번길 18,현대건축물,문화 및 집회시설,2006년 개관,"제18회 광주광역시 건축상 비주거부문 금상, 오월어머니집은 5.18민주화운동에 헌신한 여성들을 기억하고 그들에 대한 위로와 소통의 공간",,,남구
4D 고싸움놀이 영상체험관,남구 고싸움로 2,현대건축물,문화 및 집회시설,2010년 개관,제13회 광주광역시 건축상 은상,35.0693077,126.8353244,남구
월산5동 주민센터,남구 군분로 82번길 14,현대건축물,업무시설,"2000년 설치, 2012년 신축 이전",제16회 광주광역시 건축상 비주거부문 금상,,,남구
광주시민회관,남구 중앙로107번길 15,현대건축물,문화 및 집회시설,1971년 개관,"광주 최초의 공공 복합문화 시설로 문을 연 광주시민회관은 개관 이후 연간 300여 건의 결혼식이 진행되고, 약 600석 규모의 만화영화 상영관을 갖출 정도로 호남권을 대표하는 시민들의 문화 공간이었지만, 그동안 쇠락하여 오다가 최근에 리모델링하여 새로운 문화 공간으로 탄생, 공원의 광장을 품고 있는 철근콘크리트 주조의 건축물은 활용 방법에 따라 공간을 유연하게 활용할 수 있는 것이 특징이며, 건물에 들어서면 홀이 나타나고 휴게실과 매점이 대강당 객석과 로비를 양분하고 있음",35.1470369,126.9095367,남구
양림커뮤니티센터,남구 백서로 94,현대건축물,근린생활시설,2015년 개관,제19회 광주광역시 건축상 은상,35.1405093,126.9164646,남구
사직공원 전망타워,남구 사직길 49-1,현대건축물,관광휴게시설,2015년 개관,제19회 광주광역시 건축상 은상,35.1416518,126.9114019,남구
빛고을 시민문화관,남구 천변좌로338번길 7,현대건축물,문화 및 집회시설,2010년 개관,"제14회 광주광역시 건축상 은상, 빛고을시민문화관은 아시아문화 중심도시 광주광역시의 복합문화 시설로, 시민의 정서 함양과 지역 문화예술의 창달을 위하여 시민 중심의 공연·전시와 쾌적하고 친숙한 문화예술 공간을 제공",35.14832,126.9089319,남구
희경루,남구 구동,현대건축물,누정,2023년,"조선시대 광주읍성 객사 광산관 북쪽에 있었던 2층 누각, 희경루는 수차례 화마를 겪으며 수리를 반복하다가 일제강점기인 1920년대 철거된 것으로 추정, 광주시는 희경루의 원래 위치가 동구 충장우체국 일원인 것으로 파악됐지만 역사 환경, 접근성 등을 고려해 2023년 9월 20일 광주공원 일대에 중건",35.1469396,126.909874,남구
첨단와이어스파크 지식산업센터,북구 첨단 과기로 208번길 43-22,현대건축물,업무시설,2021년 준공,"제25회 광주광역시 건축상 비주거부분 금상, 산업단지 속 자연과 함께 하는 힐링공간 컨셉",,,북구
정보마루,북구 용봉로 77,현대건축물,교육연구시설,2021년 개관,"제25회 광주광역시 건축상 비주거부문 은상, 전남대학교 디지털 도서관, 멀티미디어와 복합문화가 적절히 융합되는 공간을 지향",35.1769099,126.9068927,북구
전남대학교 교육융합센터,북구 용봉로 77,현대건축물,교육연구시설,2019년 개관,"제24회 광주광역시 건축상 비주거부문 은상, 1층 중앙과 5층 옥상에 휴게공간을 겸한 실내정원이 조성되고, 천장을 통한 자연채광이 가능토록 하게 함, 2층 테라스 공간을 계획하여 흘러가는 동선과의 시각적 소통을 고려하고 계단식 광장을 통해 누구나가 건물에 접근할 수 있는 열린 건축물로 계획",35.1769099,126.9068927,북구
광주과학기술원 중앙도서관,북구 첨단과기로 123,현대건축물,교육연구시설,2015년 개관,제20회 광주광역시 건축상 비주거부문 금상,35.22885,126.8393605,북구
시립미술관 국제레지던시 스튜디오,북구 하서로 52,현대건축물,업무시설,2017년 개관,제21회 광주광역시 건축상 비주거부문 동상,35.2020664,126.8741625,북구
빛고을국민안전체험관,북구 능안로30번길 3,현대건축물,문화 및 집회시설,2022년 개관,제26회 광주광역시 건축상 사회공공부문 최우수상,35.1886919,126.9167159,북구
광주 문화예술회관,북구 북문대로 60,현대건축물,문화 및 집회시설,1991년 개관,"한국건축가협회상, 본상, 1994",35.1865313,126.8695851,북구
플레넘,북구 연제동,현대건축물,업무시설,2015년,제19회 광주광역시 건축상 은상,35.2003772,126.8645646,북구
광주-기아 챔피언스 필드,북구 서림로 10,현대건축물,운동시설,2014년 개장,"2014 대한민국 공공건축상 / 국토교통부장관상, 지하 2층~지상 5층에 관람석 총 2만2244석 규모로, 장애인을 고려한 무장애 공간(Barrier Free)을 적극적으로 도입, 지역 구단 및 주민의 참여로 새로운 문화 및 위락공간을 제공한 사례",35.1680715,126.8882664,북구
교보생명 리모델링 광주 누문동 사옥,북구 금남로 136,현대건축물,업무시설,"1986년 건립, 2014년 리모델링","2013 대한민국 녹색건축대전 / 산업통상자원부 장관상 / 최우수상, 광화문타입 사옥의 수평성을 재해석한 입체적인 구성과 그린하우스를 계획하여 교보의 자연친화 정신을 강조, 또한 바닥까지 열린 창호에 두 개의 수평 띠 구간이 입체적으로 구성되며 처마 역할을 하여 친환경 입면을 제시",35.1598496,126.8975546,북구
한국전력공사 전남지사,북구 우치로 222,현대건축물,업무시설,,"한국건축전, 준공, 우수, 1991",35.1928303,126.9044258,북구
청소년 수련관 별관,북구 대천로 86,현대건축물,수련시설,2009년 개관,제13회 광주광역시 건축상 동상,35.9368303,128.5595346,북구
광주시립미술관,북구 하서로 52,현대건축물,문화 및 집회시설,1992년 개관,"젊은건축가상, 새건축가협의회장상, 본상, 2004",35.2020664,126.8741625,북구
첨단 포플레이,광산구 임방울대로 826번길 42,현대건축물,근린생활시설,2021년 개관,"제25회 광주광역시 건축상 비주거부문 동, 지하 주차장을 뺀 나머지 1층부터 5층까지 공간에 20여개의 음주관련 인기 브랜드 매장을 앵커 테넌트로 구성되어 있으며 주점과 편의시설이 중심",,,광산구
더시너지 첨단,광산구 임방울대로 826번길 47,현대건축물,근린생활시설,2019년 개관,"제24회 광주광역시 건축상 비주거부문 동상, 30대 초반 여성 중심의 라이프스타일 상업 공간 컨셉",,,광산구
비아119안전센터,광산구 비아로 12번길 10,현대건축물,근린생활시설,2016년 준공,제21회 광주광역시 건축상 비주거부문 동상,,,광산구
아우트라우드,광산구 단전4길 3,현대건축물,근린생활시설,,제24회 광주광역시 건축상 비주거부문 은상,35.1807965,126.7986001,광산구
소촌아트팩토리,광산구 소촌로 85번길 14-9,현대건축물,복합문화공간,2015년 개관,"소촌아트팩토리는 2014년 ‘산업단지 및 폐산업시설 문화재생사업’에 선정된 사업명 소촌아트팩토리(S.A.F.) 프로젝트로부터 비롯, 소촌농공단지 관리사무소와 민방위대피소로 쓰였던 과거의 건물들에 국립아시아문화전당 홍보관 아시아문화마루에 쓰였던 컨테이너들이 덧대어져 새로운 문화재생공간으로 탈바꿈",,,광산구
큰 빛 자연생태 어린이집,광산구 박뫼길 11-6,현대건축물,교육연구시설,2010년 개원,제15회 광주광역시 건축상 금상,,,광산구
첨단 배드민턴장,광산구 첨단강변로 76,현대건축물,운동시설,2015년 개관,제19회 광주광역시 건축상 비주거부문 금상,35.207725,126.8514275,광산구
광주여대 유니버시아드 체육관,광산구 광주여대길 6,현대건축물,교육연구 시설 및 운동시설,2015년 개장,"대한민국 공공건축상 / 건축물 / 건축도시공간 소장상, 2015년 광주 유니버시아드 개최와 더불어 광주의 새로운 랜드마크 역할을 할 수 있는 문화체육시설 건설을 목적으로 하였으며, 광주여자대학의 의료 보건 및 사회복지분야를 연계하여 지역주민의 활발한 생활체육 활동을 장려하고, 해당관련 학과의 현장실습장으로서 활용될 것으로 기대, 본 건축물은 무장애 공간계획을 통해 사회적 약자를 배려하였으며, 어등산과 도시의 매개공간으로서 유니크한 디자인 및 재료를 통하여 지역의 대표적 아이덴티티로 자리매김하도록 계획함",,,광산구
