연번,구분,세부구분,시설명,시설명영문명,데이터기준일자,주소,위도,경도,지오코딩상태,재시도방법
152,공원,도시근린공원,양산호수공원,Yangsan Reservoir,2025-09-22,광주 북구 양산동 288-3,35.2034325397424,126.872771957976,success,
153,예술/문화,박물관,어린이생태학습도서관,Children Ecology Study Library,2025-09-22,광주 서구 풍암동 산 14-50,35.12967818900524,126.88183525505188,success,
154,역사/전통,5·18/광주학생운동,역사상징의 거리,Street of Historical Symbol,2025-09-22,,,,not_found,
155,공원,도시근린공원,평화공원,Pyeonghwa Park,2025-09-22,부산 남구 대연동 706-5,35.12580071669106,129.1003060521524,success,
156,역사/전통,5·18/광주학생운동,광목간양민학살지(사적15호),Massacred Site of Innocent People between Gwangju and Mokpo (Historical Site No. 15),2025-09-22,,,,not_found,
157,역사/전통,5·18/광주학생운동,광주공원광장-시민군편성지(사적20호),Gwangju Park Plaza - Civilian Guard Organized Site(Historical Site No. 20),2025-09-22,,,,not_found,
158,역사/전통,5·18/광주학생운동,광주교도소(사적22호),Korea Correctional Service in Gwangju (Historical Site No. 22),2025-09-22,,,,not_found,
159,역사/전통,5·18/광주학생운동,광주기독병원(사적10호),Gwangju Christian Hospital(Historical Site No.10),2025-09-22,광주 남구 양림동 264,35.13668038022085,126.91197782339566,success,korean_cleaned
160,역사/전통,5·18/광주학생운동,광주역광장(사적2호),Gwangju Station Plaza(Historical Site No.2),2025-09-22,광주 북구 용봉동 300,35.177023980354704,126.9066791822765,success,korean_cleaned
161,역사/전통,5·18/광주학생운동,광주학생독립운동기념탑,Gwangju Student Independence Movement Monument,2025-09-22,광주 북구 누문동 144,35.153064815279,126.90884333977,success,
162,체험/스포츠,유원지,송산근린공원,Songsan Recreation Area,2025-09-22,광주 광산구 송산동 195,35.1586742359363,126.73614366915,success,
163,공원,도시근린공원,쌍암공원,Ssangam Park,2025-09-22,광주 광산구 쌍암동 653-1,35.2237398050094,126.843407812975,success,
164,공원,도시근린공원,금남로공원,Geumnam Park,2025-09-22,광주 동구 금남로3가,35.1497958694808,126.91545793681,success,
165,역사/전통,5·18/광주학생운동,금남로일대(사적4호),Geumnam-ro Area (May 18 Democratic Movement Historical Site No. 4),2025-09-22,광주 동구 운림동 947-1,35.1319724714083,126.936318706237,success,korean_cleaned
166,역사/전통,5·18/광주학생운동,남동성당(사적25호),Nam-dong Catholic Church (Historical Site No. 25),2025-09-22,광주 동구 남동 55,35.1443517095038,126.92088892684,success,korean_cleaned
167,역사/전통,5·18/광주학생운동,녹두서점옛터(사적8호),Old Site of Nokdu Book Store (Historical Site No. 8),2025-09-22,광주 동구 대의동 91,35.1500082136358,126.92160007988,success,korean_cleaned
168,예술/문화,문화유산,고운묘 출토유물,Go Un’s Cemetary Relics (excabated) ,2025-09-22,,,,not_found,
169,예술/문화,문화유산,김덕령장군 의복,General Kim Deok Ryeong's Garments ,2025-09-22,,,,not_found,
170,예술/문화,문화유산,장흥임씨묘 출토복식,Dressing excabated from Jangheung Lim Clan cemetary,2025-09-22,,,,not_found,
171,역사/전통,사찰/기독교,무각사,Mugaksa Temple ,2025-09-22,광주 서구 쌍촌동 1268-1,35.153780614779386,126.85601821881613,success,
172,자연,자연,백마산,Baekmasan Mountain,2025-09-22,경기 광주시 초월읍 쌍동리 산 30,37.36846924939673,127.27747219628337,success,
173,자연,자연,백석산,Baekseoksan Mountain,2025-09-22,광주 서구 쌍촌동,35.1447678323549,126.852948296732,success,
174,예술/문화,문화유산,광주약사암 석조여래좌상,Gwangju Yaksaam Seokjoyeoraejwasang(seated stone Buddha statue),2025-09-22,,,,not_found,
175,예술/문화,문화유산,원효사 출토유물,Wonhyosa Temple Relics (excavated) ,2025-09-22,광주 북구 금곡동 846,35.1484219885755,126.985597493095,success,
176,자연,자연,복룡산,Bokryongsan Mountain,2025-09-22,광주 광산구 용곡동 산 47,35.14263594171688,126.73635784342034,success,
177,예술/문화,문화유산,증심사 철조비로자나불좌상,Jeungsimsa Cheoljobirosanabuljwasang(Ironed Buddhist Statue),2025-09-22,,,,not_found,
178,예술/문화,문화유산,광주 신창동유적,"The Historic Site of Sinchang-dong, Gwangju",2025-09-22,광주 광산구 신창동 512-1,35.19471944847361,126.84872312547178,success,
179,예술/문화,문화유산,광주 충효동 도요지,Chunghyo-dong Pottery Kiln Site,2025-09-22,광주 북구 금곡동 157,35.167427105994,126.998313974671,success,
180,예술/문화,문화유산,노인 금계일기,Geumgye-ilgi(diary written by Noh In) ,2025-09-22,,,,not_found,
181,예술/문화,문화유산,정지장군 환삼,General Jeong Ji’s Armor,2025-09-22,,,,not_found,
182,체험/스포츠,스포츠/기타,빛고을청소년수련원,Bitgoeul Youth Training Center,2025-09-22,광주 서구 화정동 504-8,35.1418071850731,126.868109910144,success,
183,거리,이색거리,뽕뽕거리,Ppongppong Street,2025-09-22,,,,not_found,
184,체험/스포츠,스포츠/기타,서구국민체육센터,Seo-gu National Athletic Center,2025-09-22,인천 서구 검암동 496,37.56623375088638,126.67796449371862,success,
185,체험/스포츠,스포츠/기타,빛고을 노인건강타운,Bitgoeul Silver Town,2025-09-22,광주 남구 노대동 587,35.09977546422822,126.89673299693361,success,
186,역사/전통,5·18/광주학생운동,구 시외버스공용터미널일대(사적3호),Area of Former Gwangju Bus Terminal (Historical Site No. 3),2025-09-22,,,,not_found,
187,역사/전통,5·18/광주학생운동,구 전남도청(사적5-1호),Main Building of Former Jeollanam-do Government Office ,2025-09-22,광주 동구 광산동 13,35.1469216316129,126.919731978296,success,korean_cleaned
188,역사/전통,5·18/광주학생운동,국립 5·18민주묘지,National 5.18 Democratic Cemetery,2025-09-22,광주 북구 운정동 563,35.236084409473506,126.93969582266139,success,
189,역사/전통,5·18/광주학생운동,군사법정,Military Court,2025-09-22,,,,not_found,
190,역사/전통,5·18/광주학생운동,농성광장격전지(사적16호),Nongseong Plaza Ferocious Battlefield (Historical Site No. 16) ,2025-09-22,,,,not_found,
191,역사/전통,5·18/광주학생운동,5·18민주광장(사적5-2호),May 18 Democratic Plaza (Historical Site No. 5-2),2025-09-22,광주 동구 금남로1가 12-7,35.1474913380556,126.919801652795,success,korean_cleaned
192,역사/전통,5·18/광주학생운동,5·18최초발포지-광주고교앞(사적21호),May 18 First Shooting Site - Front of Gwangju high school (Historical Site No. 21),2025-09-22,,,,not_found,
193,역사/전통,5·18/광주학생운동,505보안부대옛터(사적26호),Old Site of 505 Security Unit (Historical Site No. 26),2025-09-22,,,,not_found,
194,공원,도시근린공원,광주공원,Gwangju Park,2025-09-22,광주 남구 구동 21-1,35.1468492839529,126.90917948991,success,
195,자연,자연,광주천,Gwangju Stream,2025-09-22,광주 서구 동천동 338,35.16830105217562,126.8642164724057,success,
196,체험/스포츠,공연장,서구문화센터,Seo-gu Culture Center,2025-09-22,광주 서구 금호동 789,35.130759590531255,126.8604222346809,success,
197,체험/스포츠,스포츠/기타,염주체육관,Yeomju Gymnasium ,2025-09-22,광주 서구 풍암동 423-2,35.13539260200561,126.8788644463333,success,
198,체험/스포츠,유원지,우치공원,Uchi Park,2025-09-22,광주 북구 생용동 산 127-2,35.2230679506424,126.891695666587,success,
199,공원,도시근린공원,운천호수,Uncheon Reservoir,2025-09-22,광주 서구 쌍촌동 869-9,35.14809509172891,126.85472231359499,success,
200,공원,도시근린공원,청풍쉼터,Cheongpungswimteo (park),2025-09-22,광주 북구 청풍동 209-5,35.1617860455474,126.962589506512,success,
201,공원,도시근린공원,푸른길공원,Pureun-gil Park,2025-09-22,광주 동구 계림동 730,35.1639948440069,126.916547457883,success,
202,공원,도시근린공원,풍암생활체육공원,Pungam Athletic Park,2025-09-22,광주 서구 풍암동 32-26,35.12972404596778,126.88264709148802,success,
203,역사/전통,사찰/기독교,원각사,Wongaksa Temple,2025-09-22,광주 동구 금남로4가 51,35.1509103200076,126.915987950154,success,
204,역사/전통,사찰/기독교,원효사,Wonhyosa Temple,2025-09-22,광주 북구 금곡동 846,35.14851210740412,126.98545261795167,success,
205,자연,자연,짚봉산,Jipbongsan Mountain,2025-09-22,광주 서구 풍암동 산 236-23,35.13751308934528,126.88396361208294,success,
206,역사/전통,5·18/광주학생운동,5·18구묘지(사적24호),May 18 Old Cemetery (Historical Site No. 24),2025-09-22,,,,not_found,
207,역사/전통,5·18/광주학생운동,5·18기념공원,5.18 Memorial Park,2025-09-22,광주 서구 쌍촌동 1268,35.1562739086397,126.856891843429,success,
208,역사/전통,5·18/광주학생운동,5·18자유공원,5.18 Liberty Park,2025-09-22,광주 서구 치평동 1161-6,35.148249240772955,126.83972258742641,success,
209,예술/문화,박물관,광주교육대학교 교육박물관,Gwangju National University of Education Museum,2025-09-22,광주 북구 풍향동 1-1,35.1658703530002,126.928924855396,success,
210,예술/문화,미술관,광주시립미술관,Gwangju Museum of Art ,2025-09-22,광주 북구 운암동 산 42-3,35.18336009869683,126.88568803886822,success,
211,예술/문화,미술관,무등갤러리,Mudeung Gallery,2025-09-22,광주 동구 궁동 51-25,35.15015559340997,126.91820226308482,success,
212,체험/스포츠,공연장,광주예술의전당,Gwangju Culture & Art Center,2025-09-22,광주 북구 운암동 328-16,35.1781095828805,126.881348040256,success,
213,공원,도시근린공원,풍암호수,Pungam Reservoir,2025-09-22,광주 서구 풍암동 460,35.127874007073146,126.86985598559879,success,
214,쇼핑,전통시장,남광주시장,Namgwangju Market,2025-09-22,광주 동구 학동 55,35.1392574687151,126.921284492337,success,
215,예술/문화,전통문화,월봉서원 체험,Wolbongseowon Confucian Academy,2025-09-22,전남 장성군 남면 마령리 516-4,35.2432905191566,126.773638454391,success,
216,예술/문화,박물관,광주역사민속박물관,Gwangju Folk Museum,2025-09-22,광주 북구 용봉동 1004-4,35.1841302664296,126.888545883082,success,
217,체험/스포츠,공연장,궁동예술극장,Gungdong Art Theatre,2025-09-22,광주 동구 궁동 51-25,35.1501799412466,126.91821870033,success,
218,예술/문화,박물관,국립광주박물관,Gwangju National Museum,2025-09-22,광주 북구 매곡동 산 83-3,35.18883897892572,126.88285092356368,success,
219,예술/문화,박물관,전남대학교 박물관,Chonnam National University Museum ,2025-09-22,광주 북구 용봉동 300,35.17534083926061,126.9110623402753,success,
220,예술/문화,미술관,우제길 미술관,U Jegil Art Gallery(Studio),2025-09-22,광주 동구 운림동 647,35.1318135641328,126.943024882074,success,
221,예술/문화,미술관,의재미술관,Uijae Art Gallery,2025-09-22,광주 동구 운림동 85-1,35.1293889058934,126.967462562062,success,
222,예술/문화,미술관,하정웅미술관,Gwangju Museum of Art Annex Ha Jeong-ung,2025-09-22,전남 영암군 군서면 서구림리 379-1,34.7609015385302,126.621920165284,success,
223,예술/문화,미술관,자미갤러리,Jami Gallery,2025-09-22,광주 북구 중흥동 828,35.17289197541293,126.91372594285077,success,
224,예술/문화,미술관,일곡갤러리,Ilgok Gallery,2025-09-22,광주 북구 운암동 산 42-3,35.18336009869683,126.88568803886822,success,
225,예술/문화,미술관,오지호기념관,Oh Jiho Memorial Hall,2025-09-22,전남 화순군 동복면 독상리 432,35.0680295078378,127.130951237045,success,
226,예술/문화,미술관,조선대미술관,Chosun University Art Center,2025-09-22,광주 동구 서석동 416-1,35.14391230756853,126.9304604965085,success,
227,예술/문화,미술관,무등현대미술관,Mudeung Hyundai Art Museum,2025-09-22,광주 동구 운림동 331-6,35.1341760901087,126.953727774543,success,
228,예술/문화,미술관,신세계갤러리,Shinsegae Gallery,2025-09-22,서울 강남구 청담동 89,37.5258745791814,127.041961684921,success,
229,체험/스포츠,공연장,국립아시아문화전당,Asia Culture Center,2025-09-22,광주 동구 광산동 13,35.147333715652636,126.92135353457694,success,
230,체험/스포츠,공연장,빛고을국악전수관,Bitgoeul Korea Traditional Classical Music Instruction Hall,2025-09-22,광주 서구 금호동 790,35.1319622049321,126.859811239012,success,
231,체험/스포츠,공연장,빛고을시민문화관,Bitgoeul Citizen Culture Hall,2025-09-22,광주 남구 구동 12,35.147984621924,126.90867780907,success,
232,역사/전통,전통가옥/근대건축,양림동역사문화마을,Yangnim-dong Modern History Culture Village,2025-09-22,광주 남구 양림동 202-23,35.14233532887371,126.91549747442079,success,
233,예술/문화,전통문화,빛고을공예창작촌,Daechon Folk Culture Hall,2025-09-22,광주 남구 양과동 893-2,35.0857904815729,126.866072784119,success,
234,예술/문화,전통문화,무등도요,Mudeung Pottery Site,2025-09-22,,,,not_found,
235,예술/문화,전통문화,광주도예문화센터,Gwangju Ceramic Culture Center,2025-09-22,광주 남구 압촌동 56,35.0947651533476,126.839842669778,success,
236,쇼핑,전통시장,말바우시장,Malbau Market,2025-09-22,광주 북구 우산동 190-2,35.17251663215537,126.92249948350228,success,
237,쇼핑,전통시장,무등시장,Mudeung Market,2025-09-22,광주 남구 주월동 974-107,35.1361869054739,126.894505701981,success,
238,쇼핑,전통시장,송정5일장,Songjeong Market(five-day interval) ,2025-09-22,경북 구미시 오태동 757-2,36.0695741294643,128.352052827564,success,
239,거리,이색거리,예술의 거리,Gwangju Art Street,2025-09-22,광주 동구 궁동 52-2,35.1496504134382,126.918921587626,success,
240,거리,음식의 거리,대인시장회타운,Hoetown (Sliced Raw Fish) Street of Daein Market,2025-09-22,광주 북구 우산동 173-6,35.1730674888999,126.919923643507,success,
241,거리,음식의 거리,아시아음식문화거리,Asian Food Culture Street,2025-09-22,,,,not_found,
242,거리,이색거리,통기타 라이브 카페거리,Acoustic guitar live cafe street.,2025-09-22,광주 남구 사동 121-1,35.142659865565,126.914280189258,success,
243,자연,자연,무등산 국립공원,Mudeungsan Mountain,2025-09-22,광주 북구 금곡동 산 1-3,35.133137163805486,126.99046193302027,success,
244,공원,도시근린공원,사직공원,Sajik Park,2025-09-22,서울 종로구 사직동 1-28,37.5758369436475,126.967234174031,success,
245,체험/스포츠,스포츠/기타,광주월드컵경기장,Gwangju World Cup Stadium ,2025-09-22,광주 서구 풍암동 423-2,35.13368228982632,126.87489504742325,success,
246,공원,도시근린공원,중외공원,Jungoe Park ,2025-09-22,광주 북구 운암동 산 35-6,35.18014632741224,126.88287108215373,success,
247,거리,음식의 거리,송정떡갈비거리,Songjeong Tteokgalbi like being melted in the mouth * Tteokgalbi: Marinated Beef Ribs,2025-09-22,광주 광산구 송정동 830-4,35.1394911553451,126.79460798392,success,
248,거리,음식의 거리,유동오리탕거리,"Duck Stew, Good for Our Body and Taste ",2025-09-22,,,,not_found,
249,맛집,한식,어머니의 손맛 광주김치 ,Gwangju Kimchi Keeping the Handy Taste of Mother,2025-09-22,,,,not_found,
250,거리,음식의 거리,무등산보리밥거리,Mt. Mudeung Boribab (boiled barley) in Search for Natural Taste,2025-09-22,광주 동구 지산동 691-67,35.1492143011728,126.944834486506,success,
251,예술/문화,전통문화,광주전통문화관,Traditional Culture Center,2025-09-22,광주 동구 운림동 323,35.1335734506445,126.952363176196,success,
252,예술/문화,미술관,한희원미술관,Han Hee-won Museum of Art,2025-09-22,광주 남구 양림동 166-10,35.14106251807538,126.91409093049178,success,
253,자연,자연,용추계곡,Yongchu Valley,2025-09-22,경기 가평군 가평읍 승안리 산 223,37.85987297412031,127.47917955164392,success,
254,공원,도시근린공원,조선대학교 장미원,Chosun University Rose Garden,2025-09-22,광주 동구 서석동 300,35.14164009441866,126.92911271786325,success,
255,예술/문화,전통문화,평촌도예공방,Pyeongchon Ceramics Workshop,2025-09-22,광주 북구 충효동 270-3,35.1793572079643,127.008229356912,success,
256,예술/문화,전통문화,얼쑤,Eolssu,2025-09-22,대전 동구 가양동 423-9,36.3497843646593,127.443415507944,success,
257,예술/문화,박물관,전남대박물관 공룡전시실,Chonnam National University Dinosaur Museum,2025-09-22,,,,not_found,
258,체험/스포츠,체험장,기아자동차,Kia Motors,2025-09-22,서울 강남구 압구정동 518,37.527530284368524,127.0428982070538,success,
259,맛집,양식,알랭,Alain,2025-09-22,광주 북구 용봉동 161-43,35.1748592485056,126.913180467323,success,
260,체험/스포츠,체험장,광주 콩종합센터,Gwangju Bean Center ,2025-09-22,광주 남구 압촌동 101-1,35.0923911236919,126.838614660309,success,
261,맛집,한식,홍아네,Hongane,2025-09-22,광주 서구 치평동 245-4,35.14662421814818,126.85260476596521,success,
262,예술/문화,문화유산,충효동 왕버들군,Chunghyo-dong Willow,2025-09-22,,,,not_found,
263,체험/스포츠,체험장,아시아 문화전당 어린이체험관,Asia Culture Center: Culture Adventure of ACC Children,2025-09-22,광주 동구 광산동 113,35.1457308059165,126.919540008468,success,
264,체험/스포츠,체험장,광주김치타운,Kimchitown,2025-09-22,광주 남구 임암동 675,35.1092631516171,126.867021596437,success,
265,숙박,캠핑장,광주 시민의 숲 야영장,Citizen's Forest Campground ,2025-09-22,광주 북구 월출동 968,35.23696216197187,126.86883714160008,success,
266,체험/스포츠,유원지,지산유원지,Jisan Recreation Area,2025-09-22,광주 동구 지산동 산 56-1,35.149400046218545,126.94910117072787,success,
267,숙박,캠핑장,승촌보 캠핑장,Seungchonbo Campground ,2025-09-22,광주 남구 승촌동 598,35.06384347624915,126.75590157416224,success,
268,숙박,캠핑장,제 2 수원지 캠핑장,Second Reservoir Campground,2025-09-22,,,,not_found,
269,숙박,캠핑장,본량 학생야영장,Bonlyang Campsite,2025-09-22,광주 광산구 양산동 158,35.1959836668618,126.682332734771,success,
270,숙박,캠핑장,청풍학생야영장,Cheongpung Campsite,2025-09-22,광주 북구 청풍동 498,35.172003765142136,126.96534782373871,success,
271,공원,도시근린공원,수완호수공원,Suwan Lake Park ,2025-09-22,광주 광산구 장덕동,35.1894670136085,126.820187901886,success,
272,거리,이색거리,금남로,Geumnamno Street,2025-09-22,광주 북구 북동 161,35.15496435702583,126.90814759797162,success,
273,예술/문화,박물관,백범기념관,Kim Koo Museum and Library,2025-09-22,서울 용산구 효창동 255,37.5444798383171,126.959458190692,success,
274,예술/문화,미술관,소촌아트팩토리,Sochon Art Factory ,2025-09-22,광주 광산구 소촌동 845,35.1523670870122,126.790923258347,success,
275,체험/스포츠,공연장,김대중컨벤션센터,Kim Dae-jung Convention Center,2025-09-22,광주 서구 치평동 1159-2,35.147045213925814,126.8405501910604,success,
276,자연,자연,광주호 호수생태원,Gwangjuho Lake Eco Park,2025-09-22,광주 북구 충효동 908,35.18497113386613,127.00046112160928,success,
277,체험/스포츠,체험장,남도향토음식박물관,Namdo Traditional Food Museum,2025-09-22,광주 북구 삼각동 779-2,35.2019210452531,126.898633219664,success,
278,체험/스포츠,스포츠/기타,광주실내빙상장,Gwangju Indoor Ice Rink,2025-09-22,광주 서구 풍암동 423-2,35.13393145603706,126.8806441104071,success,
279,거리,이색거리,충장로,Chungjang-ro ,2025-09-22,경기 고양시 덕양구 행신동 941,37.62520472467372,126.83614193280738,success,
280,예술/문화,전통문화,청공소리 한옥체험장,Cheonggongsori Hanok Experience,2025-09-22,,,,not_found,
281,예술/문화,미술관,양림미술관,Yangrim Art Museum,2025-09-22,광주 남구 양림동 108-1,35.140581994661,126.9126934601,success,
282,맛집,한식,낙지마을,Nakji Maeul,2025-09-22,광주 서구 쌍촌동 964-13,35.1516761247499,126.862382804551,success,
283,맛집,한식,행랑채,Hengnangchae,2025-09-22,광주 북구 일곡동 859-10,35.2105359432835,126.892112075216,success,
284,거리,이색거리,동명동 카페거리,Dongmyeong-dong Cafe Street ,2025-09-22,광주 동구 동명동 292,35.1493799198158,126.924365108666,success,
285,숙박,관광호텔·호스텔,호텔무등파크,Hotel Mudeung Park,2025-09-22,광주 동구 지산동 산 63-1,35.14880237459654,126.94684085267919,success,
286,숙박,외국인도시민박업,그린게스트하우스,Green Guesthouse,2025-09-22,제주특별자치도 제주시 건입동 709-11,33.514258158220336,126.53959144544714,success,
287,숙박,외국인도시민박업,Pedro guesthouse,Pedro guesthouse,2025-09-22,광주 서구 쌍촌동 962-16,35.1522557514069,126.864831376943,success,
288,거리,이색거리,양림동 펭귄마을,Yangnim-dong Penguin Village,2025-09-22,광주 남구 양림동 201-64,35.14008118770974,126.91704151767347,success,
289,거리,이색거리,신안동 디카의 거리,Digital Camera Avenue of Sinan,2025-09-22,,,,not_found,
290,거리,이색거리,청춘발산마을,Cheongchun Balsan Village,2025-09-22,광주 서구 양동 440-5,35.1599188613157,126.891472115938,success,
291,거리,이색거리,무등산 카페거리,Mudeungsan Cafe Village ,2025-09-22,,,,not_found,
292,예술/문화,전통문화,광주향교 체험,Gwangjuhyanggyo Local Confucian School Experience,2025-09-22,경기 하남시 신장동 561-2,37.54204954923113,127.21091273632797,success,
293,예술/문화,미술관,광주여성전시관 Herstory ,"Gwangju Women's Exhibition Hall, Herstory ",2025-09-22,,,,not_found,
294,예술/문화,미술관,은암미술관,Eunam Museum of Art ,2025-09-22,광주 동구 대의동 32,35.1499688285889,126.920637664626,success,
295,역사/전통,미술관,윤상원열사 생가,House of Yoon Sang-won ,2025-09-22,광주 광산구 신룡동 570-1,35.2112638271179,126.76279750684,success,
296,역사/전통,사찰/기독교,선교기념비,Mission Monument,2025-09-22,광주 남구 양림동 108-8,35.139443346682,126.913633961676,success,
297,예술/문화,선비문화,송호영당,Songhoyeongdang,2025-09-22,광주 광산구 소촌동 364-1,35.1498404606254,126.795609180234,success,
298,예술/문화,선비문화,사직단,Sajikdan Altar,2025-09-22,서울 종로구 사직동 1-28,37.5756532581652,126.967659901279,success,
299,역사/전통,5·18/광주학생운동,광주 경찰충혼탑,Gwangju Police Memorial Tower,2025-09-22,광주 남구 사동 177,35.1425357494996,126.912142704888,success,
300,예술/문화,문화유산,신룡동오층석탑,Five-Story Stone Pagoda in Sinnyong-dong ,2025-09-22,광주 광산구 신룡동 산 57-1,35.22731978428761,126.77135514840737,success,
301,역사/전통,5·18/광주학생운동,광주 3.1 만세운동 기념비,Gwangju March 1 Manse Movement Monument,2025-09-22,광주 남구 양림동 242,35.1373214383332,126.911002759368,success,
302,맛집,한식,절기밥상,Ihwajeong,2025-09-22,광주 북구 용전동 1220-17,35.2353512296629,126.891358554817,success,
303,자연,자연,원효계곡,Wonhyo Valley,2025-09-22,광주 북구 금곡동 781,35.1514185523109,126.989951677242,success,
304,예술/문화,미술관,국윤미술관,G & Y Museum of Art,2025-09-22,광주 동구 소태동 722-70,35.13189325739366,126.9365206518692,success,
305,거리,이색거리,맥문동숲길,Maengmundong Forest Road,2025-09-22,광주 북구 문흥동 1014-3,35.18295928996892,126.91638535221192,success,
306,숙박,한옥스테이,오가헌,Ogaheon Hanok Hotel,2025-09-22,광주 동구 금남로4가 42,35.1516348396719,126.915736984522,success,
307,숙박,템플스테이,증심사 템플스테이,Temple Stay at Jeungsimsa Temple ,2025-09-22,광주 동구 운림동 56,35.12857735398967,126.96968900451077,success,
308,예술/문화,전통문화,증심사 템플스테이,Temple Stay at Jeungsimsa Temple ,2025-09-22,광주 동구 운림동 56,35.12857735398967,126.96968900451077,success,
309,예술/문화,박물관,비움박물관, Bium Museum,2025-09-22,광주 동구 대의동 2-1,35.1504228951734,126.920303600789,success,
310,체험/스포츠,스포츠/기타,광주기아챔피언스필드,Gwangju-Kia Champions Field ,2025-09-22,광주 북구 임동 316,35.16820922209541,126.88911206152956,success,
311,체험/스포츠,체험장,국립광주과학관,Gwangju National Science Museum,2025-09-22,광주 북구 오룡동 1-6,35.2298555988054,126.84992561562,success,
312,맛집,양식,어나더키친,Another Kitchen,2025-09-22,광주 광산구 수완동 954,35.1916169396833,126.823384922103,success,
