연번,구분,세부구분,시설명,시설명영문명,데이터기준일자
208,역사/전통,5·18/광주학생운동,5·18자유공원,5.18 Liberty Park,2025-09-22
209,예술/문화,박물관,광주교육대학교 교육박물관,Gwangju National University of Education Museum,2025-09-22
210,예술/문화,미술관,광주시립미술관,Gwangju Museum of Art ,2025-09-22
211,예술/문화,미술관,무등갤러리,Mudeung Gallery,2025-09-22
212,체험/스포츠,공연장,광주예술의전당,Gwangju Culture & Art Center,2025-09-22
213,공원,도시근린공원,풍암호수,Pungam Reservoir,2025-09-22
214,쇼핑,전통시장,남광주시장,Namgwangju Market,2025-09-22
215,예술/문화,전통문화,월봉서원 체험,Wolbongseowon Confucian Academy,2025-09-22
216,예술/문화,박물관,광주역사민속박물관,Gwangju Folk Museum,2025-09-22
217,체험/스포츠,공연장,궁동예술극장,Gungdong Art Theatre,2025-09-22
218,예술/문화,박물관,국립광주박물관,Gwangju National Museum,2025-09-22
219,예술/문화,박물관,전남대학교 박물관,Chonnam National University Museum ,2025-09-22
220,예술/문화,미술관,우제길 미술관,U Jegil Art Gallery(Studio),2025-09-22
221,예술/문화,미술관,의재미술관,Uijae Art Gallery,2025-09-22
222,예술/문화,미술관,하정웅미술관,Gwangju Museum of Art Annex Ha Jeong-ung,2025-09-22
223,예술/문화,미술관,자미갤러리,Jami Gallery,2025-09-22
224,예술/문화,미술관,일곡갤러리,Ilgok Gallery,2025-09-22
225,예술/문화,미술관,오지호기념관,Oh Jiho Memorial Hall,2025-09-22
226,예술/문화,미술관,조선대미술관,Chosun University Art Center,2025-09-22
227,예술/문화,미술관,무등현대미술관,Mudeung Hyundai Art Museum,2025-09-22
228,예술/문화,미술관,신세계갤러리,Shinsegae Gallery,2025-09-22
229,체험/스포츠,공연장,국립아시아문화전당,Asia Culture Center,2025-09-22
230,체험/스포츠,공연장,빛고을국악전수관,Bitgoeul Korea Traditional Classical Music Instruction Hall,2025-09-22
231,체험/스포츠,공연장,빛고을시민문화관,Bitgoeul Citizen Culture Hall,2025-09-22
232,역사/전통,전통가옥/근대건축,양림동역사문화마을,Yangnim-dong Modern History Culture Village,2025-09-22
233,예술/문화,전통문화,빛고을공예창작촌,Daechon Folk Culture Hall,2025-09-22
234,예술/문화,전통문화,무등도요,Mudeung Pottery Site,2025-09-22
235,예술/문화,전통문화,광주도예문화센터,Gwangju Ceramic Culture Center,2025-09-22
236,쇼핑,전통시장,말바우시장,Malbau Market,2025-09-22
237,쇼핑,전통시장,무등시장,Mudeung Market,2025-09-22
238,쇼핑,전통시장,송정5일장,Songjeong Market(five-day interval) ,2025-09-22
239,거리,이색거리,예술의 거리,Gwangju Art Street,2025-09-22
240,거리,음식의 거리,대인시장회타운,Hoetown (Sliced Raw Fish) Street of Daein Market,2025-09-22
241,거리,음식의 거리,아시아음식문화거리,Asian Food Culture Street,2025-09-22
242,거리,이색거리,통기타 라이브 카페거리,Acoustic guitar live cafe street.,2025-09-22
243,자연,자연,무등산 국립공원,Mudeungsan Mountain,2025-09-22
244,공원,도시근린공원,사직공원,Sajik Park,2025-09-22
245,체험/스포츠,스포츠/기타,광주월드컵경기장,Gwangju World Cup Stadium ,2025-09-22
246,공원,도시근린공원,중외공원,Jungoe Park ,2025-09-22
247,거리,음식의 거리,송정떡갈비거리,Songjeong Tteokgalbi like being melted in the mouth * Tteokgalbi: Marinated Beef Ribs,2025-09-22
248,거리,음식의 거리,유동오리탕거리,"Duck Stew, Good for Our Body and Taste ",2025-09-22
249,맛집,한식,어머니의 손맛 광주김치 ,Gwangju Kimchi Keeping the Handy Taste of Mother,2025-09-22
250,거리,음식의 거리,무등산보리밥거리,Mt. Mudeung Boribab (boiled barley) in Search for Natural Taste,2025-09-22
251,예술/문화,전통문화,광주전통문화관,Traditional Culture Center,2025-09-22
252,예술/문화,미술관,한희원미술관,Han Hee-won Museum of Art,2025-09-22
253,자연,자연,용추계곡,Yongchu Valley,2025-09-22
254,공원,도시근린공원,조선대학교 장미원,Chosun University Rose Garden,2025-09-22
255,예술/문화,전통문화,평촌도예공방,Pyeongchon Ceramics Workshop,2025-09-22
256,예술/문화,전통문화,얼쑤,Eolssu,2025-09-22
257,예술/문화,박물관,전남대박물관 공룡전시실,Chonnam National University Dinosaur Museum,2025-09-22
258,체험/스포츠,체험장,기아자동차,Kia Motors,2025-09-22
259,맛집,양식,알랭,Alain,2025-09-22
260,체험/스포츠,체험장,광주 콩종합센터,Gwangju Bean Center ,2025-09-22
261,맛집,한식,홍아네,Hongane,2025-09-22
262,예술/문화,문화유산,충효동 왕버들군,Chunghyo-dong Willow,2025-09-22
263,체험/스포츠,체험장,아시아 문화전당 어린이체험관,Asia Culture Center: Culture Adventure of ACC Children,2025-09-22
264,체험/스포츠,체험장,광주김치타운,Kimchitown,2025-09-22
265,숙박,캠핑장,광주 시민의 숲 야영장,Citizen's Forest Campground ,2025-09-22
266,체험/스포츠,유원지,지산유원지,Jisan Recreation Area,2025-09-22
267,숙박,캠핑장,승촌보 캠핑장,Seungchonbo Campground ,2025-09-22
268,숙박,캠핑장,제 2 수원지 캠핑장,Second Reservoir Campground,2025-09-22
269,숙박,캠핑장,본량 학생야영장,Bonlyang Campsite,2025-09-22
270,숙박,캠핑장,청풍학생야영장,Cheongpung Campsite,2025-09-22
271,공원,도시근린공원,수완호수공원,Suwan Lake Park ,2025-09-22
272,거리,이색거리,금남로,Geumnamno Street,2025-09-22
273,예술/문화,박물관,백범기념관,Kim Koo Museum and Library,2025-09-22
274,예술/문화,미술관,소촌아트팩토리,Sochon Art Factory ,2025-09-22
275,체험/스포츠,공연장,김대중컨벤션센터,Kim Dae-jung Convention Center,2025-09-22
276,자연,자연,광주호 호수생태원,Gwangjuho Lake Eco Park,2025-09-22
277,체험/스포츠,체험장,남도향토음식박물관,Namdo Traditional Food Museum,2025-09-22
278,체험/스포츠,스포츠/기타,광주실내빙상장,Gwangju Indoor Ice Rink,2025-09-22
279,거리,이색거리,충장로,Chungjang-ro ,2025-09-22
280,예술/문화,전통문화,청공소리 한옥체험장,Cheonggongsori Hanok Experience,2025-09-22
281,예술/문화,미술관,양림미술관,Yangrim Art Museum,2025-09-22
282,맛집,한식,낙지마을,Nakji Maeul,2025-09-22
283,맛집,한식,행랑채,Hengnangchae,2025-09-22
284,거리,이색거리,동명동 카페거리,Dongmyeong-dong Cafe Street ,2025-09-22
285,숙박,관광호텔·호스텔,호텔무등파크,Hotel Mudeung Park,2025-09-22
286,숙박,외국인도시민박업,그린게스트하우스,Green Guesthouse,2025-09-22
287,숙박,외국인도시민박업,Pedro guesthouse,Pedro guesthouse,2025-09-22
288,거리,이색거리,양림동 펭귄마을,Yangnim-dong Penguin Village,2025-09-22
289,거리,이색거리,신안동 디카의 거리,Digital Camera Avenue of Sinan,2025-09-22
290,거리,이색거리,청춘발산마을,Cheongchun Balsan Village,2025-09-22
291,거리,이색거리,무등산 카페거리,Mudeungsan Cafe Village ,2025-09-22
292,예술/문화,전통문화,광주향교 체험,Gwangjuhyanggyo Local Confucian School Experience,2025-09-22
293,예술/문화,미술관,광주여성전시관 Herstory ,"Gwangju Women's Exhibition Hall, Herstory ",2025-09-22
294,예술/문화,미술관,은암미술관,Eunam Museum of Art ,2025-09-22
295,역사/전통,미술관,윤상원열사 생가,House of Yoon Sang-won ,2025-09-22
296,역사/전통,사찰/기독교,선교기념비,Mission Monument,2025-09-22
297,예술/문화,선비문화,송호영당,Songhoyeongdang,2025-09-22
298,예술/문화,선비문화,사직단,Sajikdan Altar,2025-09-22
299,역사/전통,5·18/광주학생운동,광주 경찰충혼탑,Gwangju Police Memorial Tower,2025-09-22
300,예술/문화,문화유산,신룡동오층석탑,Five-Story Stone Pagoda in Sinnyong-dong ,2025-09-22
301,역사/전통,5·18/광주학생운동,광주 3.1 만세운동 기념비,Gwangju March 1 Manse Movement Monument,2025-09-22
302,맛집,한식,절기밥상,Ihwajeong,2025-09-22
303,자연,자연,원효계곡,Wonhyo Valley,2025-09-22
304,예술/문화,미술관,국윤미술관,G & Y Museum of Art,2025-09-22
305,거리,이색거리,맥문동숲길,Maengmundong Forest Road,2025-09-22
306,숙박,한옥스테이,오가헌,Ogaheon Hanok Hotel,2025-09-22
307,숙박,템플스테이,증심사 템플스테이,Temple Stay at Jeungsimsa Temple ,2025-09-22
308,예술/문화,전통문화,증심사 템플스테이,Temple Stay at Jeungsimsa Temple ,2025-09-22
309,예술/문화,박물관,비움박물관, Bium Museum,2025-09-22
310,체험/스포츠,스포츠/기타,광주기아챔피언스필드,Gwangju-Kia Champions Field ,2025-09-22
311,체험/스포츠,체험장,국립광주과학관,Gwangju National Science Museum,2025-09-22
312,맛집,양식,어나더키친,Another Kitchen,2025-09-22
313,맛집,양식,마리오셰프,Mario Chef,2025-09-22
314,숙박,관광호텔·호스텔,오아시타호스텔,Oasita Hostel,2025-09-22
315,숙박,템플스테이,무각사 템플스테이,Temple Stay at Mugaksa Temple ,2025-09-22
316,쇼핑,전통시장,대인시장,Daein Market ,2025-09-22
318,예술/문화,박물관,분청사기전시실,Buncheong Ware Exhibition Hall,2025-09-22
319,자연,자연,승촌보 유채꽃밭,Seungchonbo Canola Flower(Yuchae) Garden,2025-09-22
320,예술/문화,박물관,오방 최흥종 기념관,Obang Choi Heung-jong Memorial Hall,2025-09-22
321,예술/문화,박물관,한국미용박물관,Korea Beauty Museum,2025-09-22
322,쇼핑,전통시장,1913 송정역시장,1913 Songjeong Station Market ,2025-09-22
323,체험/스포츠,공연장,광주공연마루,Gwangju Gongyeonmaru,2025-09-22
324,예술/문화,미술관,광주 미디어아트 플랫폼,Gwangju Media Art Platform,2025-09-22
325,맛집,한식,백년미가 유촌점,Baengnyeonmiga,2025-09-22
326,맛집,한식,영빈관,Yeongbingwan,2025-09-22
327,체험/스포츠,공연장,광주남구문화예술회관,Gwangju Nam-gu Culture & Arts Center,2025-09-22
328,체험/스포츠,공연장,문예정터 극단 진달래피네,"Munyejeongteo Small Theater, Jindallaepine",2025-09-22
329,체험/스포츠,공연장,민들레소극장,Mindeulle Small Theater ,2025-09-22
330,맛집,한식,관가,Gwanga,2025-09-22
331,맛집,한식,강촌,Gangchon,2025-09-22
332,거리,이색거리,운림동 미술관거리,Ullim-dong Art Gallery Street,2025-09-22
333,맛집,한식,이씨네푸줏간,Issine Pujutgan,2025-09-22
334,맛집,한식,뜨락,Tteurak,2025-09-22
335,맛집,한식,조선옥,Joseonok,2025-09-22
336,맛집,한식,넓으실,Neolbeusil,2025-09-22
337,맛집,한식,약수한방삼계탕,Yaksu Hanbang Samgyetang,2025-09-22
338,예술/문화,미술관,드영미술관,De Young Art Museum,2025-09-22
339,예술/문화,미술관,이이남 스튜디오,Leeleenam Studio,2025-09-22
340,숙박,외국인도시민박업,호랑가시나무언덕 게스트하우스,Horanggasinamu Hill Guesthouse ,2025-09-22
341,숙박,한옥스테이,서창전통한옥문화체험관,Seochang Hanok Experience Center,2025-09-22
342,코스관광,해설사관광,양림역사문화탐방,Yangnim-dong Trail,2025-09-22
343,체험/스포츠,체험장,IT스퀘어,IT Square,2025-09-22
344,체험/스포츠,스포츠/기타,광주광역시립 산수도서관,Gwangju City Sansu Library,2025-09-22
345,체험/스포츠,스포츠/기타,광주광역시립 사직도서관,Gwangju City Sajik Library,2025-09-22
346,체험/스포츠,스포츠/기타,광주광역시립 무등도서관,Gwangju City Mudeung Library,2025-09-22
347,숙박,캠핑장,패밀리랜드 카라반 캠핑장,Family Land Caravan Camping Site,2025-09-22
348,체험/스포츠,스포츠/기타,광주실내수영장,Gwangju Indoor Swimming Pool,2025-09-22
349,숙박,캠핑장,주노글램핑 인 광주,Juno Glamping in Gwangju,2025-09-22
350,체험/스포츠,스포츠/기타,광주패밀리랜드 눈썰매장,Gwangju Family Land Sled Zone ,2025-09-22
351,체험/스포츠,스포츠/기타,슈퍼몽테마파크(아틀란티스 광주점),Super Mong Theme Park (Atlantis Gwangju),2025-09-22
352,체험/스포츠,체험장,금호평생교육관,Kumho Lifelong Education Center,2025-09-22
353,체험/스포츠,공연장,광산구문화예술회관,Gwangsan-gu Culture & Arts Center,2025-09-22
354,체험/스포츠,공연장,광산구청소년수련관,Gwangsan-gu Youth Training Center,2025-09-22
355,체험/스포츠,공연장,광주학생교육문화회관,Gwangju Education and Culture Center for Students,2025-09-22
356,예술/문화,전통문화,고싸움놀이 테마파크,Gossaum-nori Theme Park ,2025-09-22
357,예술/문화,미술관,광주비엔날레전시관,Gwangju Biennale Pavilion ,2025-09-22
358,체험/스포츠,공연장,광주광역시청소년수련원,Gwangju Youth Training Center,2025-09-22
359,체험/스포츠,공연장,광주시청 야외음악당,Gwangju City Hall Outdoor Music Hall,2025-09-22
360,예술/문화,전통문화,광주광역시 동구문화원,Gwangju Dong-gu Cultural Center,2025-09-22
361,예술/문화,전통문화,광주광산문화원,Gwangju Gwangsan Cultural Center,2025-09-22
362,예술/문화,전통문화,광주광역시 북구문화원,Gwangju Buk-gu Cultural Center,2025-09-22
363,역사/전통,5·18/광주학생운동,4·19민주혁명 역사관,April Revolution History Hall,2025-09-22
364,역사/전통,5·18/광주학생운동,4·19혁명기념관,April Revolution Memorial Hall,2025-09-22
365,예술/문화,전통문화,광주광역시 남구문화원,Gwangju Nam-gu Cultural Center ,2025-09-22
366,예술/문화,전통문화,광주광역시 서구문화원,Gwangju Seo-gu Cultural Center,2025-09-22
367,역사/전통,5·18/광주학생운동,5·18민주화운동기록관,May 18 Democratic Archive,2025-09-22
368,역사/전통,5·18/광주학생운동,전일빌딩245,Jeonil Building 245,2025-09-22
369,예술/문화,문화유산,취병조형유허비,Memorial Stone for Chwibyeong Jo Hyeong,2025-09-22
370,예술/문화,선비문화,경장각,Gyeongjanggak,2025-09-22
371,역사/전통,사찰/기독교,양림동 선교사 묘지,Yangnim-dong Missionary Cemetery,2025-09-22
372,맛집,한식,홍춘이,Hongchuni,2025-09-22
373,맛집,한식,황톳길 ,Hwangtotgil,2025-09-22
374,맛집,한식,효정,Hyojeong,2025-09-22
375,맛집,양식,더셰프,The Chef,2025-09-22
376,맛집,한식,해남성내식당,Haenamseongnaesikdang,2025-09-22
377,맛집,한식,해남식당,Haenamsikdang,2025-09-22
378,체험/스포츠,체험장,5·18자유공원 역사체험,May 18 Jayu (Liberty) Park History Experience,2025-09-22
379,체험/스포츠,체험장,CCTV통합관제센터 VR 영상 체험,CCTV Control Center Children's Video Experience ,2025-09-22
380,체험/스포츠,체험장,무등산 수박마을,Mudeungsan Watermelon Village ,2025-09-22
381,체험/스포츠,체험장,빛고을농촌테마공원,Bitgoeul Farm Theme Park ,2025-09-22
382,체험/스포츠,체험장,시청 어린이 안전체험관,City Hall Safety Experience Hall for Children ,2025-09-22
383,체험/스포츠,체험장,시청자미디어센터,Viewer Media Center,2025-09-22
384,체험/스포츠,체험장,영산강 문화관,Yeongsangang Cultural Center,2025-09-22
385,체험/스포츠,스포츠/기타,광주 송정도서관,Songjeong Library ,2025-09-22
386,체험/스포츠,스포츠/기타,푸른마을 공동체센터, Pureun Village Community Center,2025-09-22
387,맛집,한식,"다르다김밥,주먹밥",Dareuda Gimbap Jumeokbap,2025-09-22
388,맛집,한식,다미정,Damijeong,2025-09-22
389,숙박,외국인도시민박업,조아 게스트 하우스,Joa Guesthouse,2025-09-22
390,숙박,캠핑장,광산구 국민여가친환경 오토캠핑장,Gwangsan-gu Eco-friendly Auto Camping Site for Public Leisure ,2025-09-22
391,자연,자연,너릿재 옛길,Neoritjae Old Road,2025-09-22
392,자연,자연,뒹굴동굴,Dwinggul Cave,2025-09-22
393,쇼핑,전통시장,양동시장,Yangdong Market,2025-09-22
394,체험/스포츠,유원지,상무시민공원 에너지파크,Sangmu Citizens' Park Energy Park,2025-09-22
395,거리,이색거리,박뫼마을,Bangmoe Village,2025-09-22
396,거리,이색거리,송정꼬브랑 동화마을,Songjeong Kkoburang Donghwa Village,2025-09-22
397,거리,이색거리,양림펭귄마을 BTS제이홉 벽화,Yangnim Penguin Village BTS J-Hope Mural,2025-09-22
398,공원,도시근린공원,상무시민공원,Sangmu Citizens' Park,2025-09-22
399,공원,도시근린공원,전평제 근린공원,Jeonpyeongje Neighborhood Park,2025-09-22
400,거리,이색거리,양림동 호랑가시나무길,Yangnim-dong Horanggasinamu-gil,2025-09-22
401,공원,도시근린공원,너릿재공원,Neoritjae Park,2025-09-22
402,공원,도시근린공원,푸른길분수공원,Pureungil Bunsu Park,2025-09-22
403,자연,자연,운천저수지,Uncheon Reservoir,2025-09-22
404,거리,이색거리,양림동 펭귄마을공예거리,Yangnim-dong Penguin Village Craft Street,2025-09-22
405,맛집,한식,대광식당,Daegwangsikdang,2025-09-22
406,맛집,한식,돌담게장백반,Doldam Gejangbaekban,2025-09-22
407,맛집,한식,미소랑 ,Misorang,2025-09-22
408,맛집,한식,민들레,Mindeulle,2025-09-22
409,맛집,한식,별채 ,Byeolchae,2025-09-22
410,맛집,한식,복순이네,Boksunine,2025-09-22
411,맛집,한식,서울곱창,Seoul Gopchang,2025-09-22
412,맛집,한식,서울장수국수,Seoul Jangsuguksu,2025-09-22
413,맛집,한식,석암돌솥밥,Seogamdolsotbap,2025-09-22
414,맛집,한식,성내식당,Seongnaesikdang,2025-09-22
415,맛집,한식,맘스쿡,Mom's Cook,2025-09-22
416,맛집,한식,매월 흑염소가든,Maewol Heugyeomso Garden ,2025-09-22
417,맛집,한식,명화식육식당,Myeonghwasigyuksikdang,2025-09-22
418,맛집,한식,송하회관,Songhahoegwan,2025-09-22
419,맛집,한식,수궁 ,Sugung,2025-09-22
420,맛집,한식,쌍학 ,Ssanghak ,2025-09-22
421,맛집,한식,아리랑하우스,Arirang House,2025-09-22
422,맛집,한식,양산대박 상추튀김,Yangsandaebak Sangchutwigim,2025-09-22
423,맛집,한식,여간 좋은날,Yeogan Joeunnal,2025-09-22
424,맛집,한식,예지원,Yejiwon,2025-09-22
425,맛집,한식,예향계절한정식,Yehyanggyejeolhanjeongsik,2025-09-22
426,맛집,한식,옥과한우촌 상무점,Okgwahanuchon,2025-09-22
427,맛집,한식,유진정,Yujinjeong,2025-09-22
428,맛집,한식,육전명가,Yukjeonmyeongga,2025-09-22
429,맛집,한식,윤영식당 ,Yunyeongsikdang,2025-09-22
430,맛집,한식,은성김밥,Eunseonggimbap,2025-09-22
431,맛집,한식,이태백,Itaebaek,2025-09-22
432,맛집,한식,이화점 ,Ihwajeom,2025-09-22
433,맛집,한식,정애네집 ,Jeongaenejip,2025-09-22
434,맛집,한식,참뫼 ,Chammoe,2025-09-22
435,맛집,한식,칠우불고기,Chirubulgogi,2025-09-22
436,맛집,한식,케이투,Keitu,2025-09-22
437,맛집,한식,한백년식당,Hanbaengnyeonsikdang,2025-09-22
438,맛집,한식,한옥식당 ,Hanoksikdang,2025-09-22
439,맛집,한식,한우사랑,Hanusarang,2025-09-22
440,맛집,한식,현완단겸 상추튀김,Hyeonwandangyeom Sangchutwigim,2025-09-22
441,맛집,한식,현주네이야기,Hyeonjune Iyagi,2025-09-22
442,맛집,일식,긴자상회,Ginjasanghoe,2025-09-22
443,맛집,기타,베토벤음악감상실 ,Beethoven Eumakgamsangsil,2025-09-22
444,맛집,기타,윤슬베이커리 ,Yun Seul Bakery,2025-09-22
445,맛집,기타,윤회매문화관,Yunhoemaemunhwagwan,2025-09-22
446,맛집,기타,제이콥하우스 ,Jacob House,2025-09-22
447,맛집,기타,지음책방,Jieumchaekbang,2025-09-22
448,코스관광,해설사관광,"광주폴리 Ⅰ,Ⅱ",Gwangju Folly I & II,2025-09-22
449,맛집,기타,춘설빵,Chunseolppang,2025-09-22
450,맛집,한식,100족발본점,100 Jokbal Main Branch,2025-09-22
451,맛집,한식,강의리추어탕,Ganguiri Chueotang,2025-09-22
452,맛집,한식,계절따라 ,Gyejeolttara,2025-09-22
453,맛집,한식,광후장어,Gwanghujangeo,2025-09-22
454,맛집,한식,국현옥궁중팥죽,Gukhyeonokgungjungpatjuk,2025-09-22
455,맛집,한식,꽃담,Kkotdam,2025-09-22
456,맛집,한식,남가정,Namgajeong,2025-09-22
457,숙박,외국인도시민박업,Pedro's house 2,Pedro's house 2,2025-09-22
458,숙박,외국인도시민박업,다솜채,Dasomchae,2025-09-22
459,숙박,한옥스테이,다솜채,Dasomchae,2025-09-22
460,맛집,양식,테리킴 ,Terry Kim,2025-09-22
461,숙박,한옥스테이,식목일 스테이,Sikmok-il Hanok Stay ,2025-09-22
462,숙박,한옥스테이,유유한,Yuyuhan,2025-09-22
463,맛집,양식,테스팅노트,Tasting Note,2025-09-22
464,맛집,양식,트루-진심을담다,True - Jinsimeuldamda,2025-09-22
465,맛집,양식,파인트리,Pinetree,2025-09-22
466,맛집,일식,오카츠,Okatsu,2025-09-22
467,맛집,일식,해동활어,Haedonghwareo,2025-09-22
468,맛집,중식,마천루,Macheollu,2025-09-22
469,맛집,중식,영안반점,Yeonganbanjeom,2025-09-22
470,맛집,기타,공오일팔 ,Gongoilpal,2025-09-22
471,거리,음식의 거리,동곡동 꽃게장 백반거리,Donggok-dong Kkotgejang Baekban Street,2025-09-22
472,쇼핑,전통시장,광주각화농산물도매시장,Gwangju Gakha Farmers' Wholesale Market,2025-09-22
473,숙박,관광호텔·호스텔,ACC DESIGN HOTEL,ACC DESIGN HOTEL,2025-09-22
474,숙박,관광호텔·호스텔,CS 호텔,CS Hotel,2025-09-22
475,숙박,관광호텔·호스텔,광주관광호텔,Gwangju Tourist Hotel ,2025-09-22
476,숙박,관광호텔·호스텔,호텔프랑스,Hotel France ,2025-09-22
477,숙박,관광호텔·호스텔,H1 Hotel (에이치원호텔),H1 Hotel,2025-09-22
478,숙박,관광호텔·호스텔,홀리데이 인 광주호텔,Holiday Inn Gwangju,2025-09-22
479,숙박,외국인도시민박업,산월게스트하우스,Sanwol Guesthouse,2025-09-22
480,숙박,한옥스테이,여로,Yeoro,2025-09-22
481,숙박,관광호텔·호스텔,Culture Hotel Laam(컬처호텔 람),Culture Hotel LAAM,2025-09-22
482,숙박,외국인도시민박업,윔즈홈,wimzhome,2025-09-22
483,숙박,외국인도시민박업,발산하우스,Balsan House,2025-09-22
484,숙박,외국인도시민박업,스테이702,Stay 702,2025-09-22
485,숙박,외국인도시민박업,달이하우스,Dal2 House,2025-09-22
486,숙박,외국인도시민박업,푸른동산,Blue Garden,2025-09-22
487,숙박,외국인도시민박업,아리네 게스트하우스,Ariene Guesthouse,2025-09-22
